EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,45,5,1.750000,0.000000,0.351719,2026-03-19 14:37:42
7,56,5,11.950000,0.000000,0.351286,2026-03-19 14:37:47
13,66,5,22.150000,0.000000,0.351601,2026-03-19 14:37:51
19,76,5,32.350000,0.000000,0.352113,2026-03-19 14:37:55
25,87,5,42.550000,0.000000,0.346837,2026-03-19 14:38:00
1,45,3,1.750000,-1.285714,0.200711,2026-03-19 14:38:12
7,56,3,11.950000,-1.280399,0.200711,2026-03-19 14:38:16
13,66,3,22.150000,-1.279144,0.200711,2026-03-19 14:38:20
19,76,3,32.350000,-1.280621,0.200711,2026-03-19 14:38:24
25,87,3,42.550000,-1.284607,0.200711,2026-03-19 14:38:29
1,45,1,1.304841,-0.950000,0.200711,2026-03-19 14:38:41
1,45,1,1.301962,-0.350000,0.200711,2026-03-19 14:38:44
1,45,1,1.302552,0.250000,0.200711,2026-03-19 14:38:46
1,45,1,1.301297,1.100000,0.200711,2026-03-19 14:38:49
1,45,1,1.302626,2.750000,0.200711,2026-03-19 14:38:52
1,45,1,1.299452,4.250000,0.200711,2026-03-19 14:38:55
1,45,2,2.154718,-0.950000,0.200711,2026-03-19 14:39:00
1,45,2,2.161805,-0.350000,0.200711,2026-03-19 14:39:03
1,45,2,2.165939,0.250000,0.200711,2026-03-19 14:39:05
1,45,2,1.782007,1.100000,0.200711,2026-03-19 14:39:08
1,45,2,1.778463,2.750000,0.200711,2026-03-19 14:39:12
1,45,2,1.770122,4.250000,0.200711,2026-03-19 14:39:16
2,47,1,2.994998,-0.950000,0.200711,2026-03-19 14:39:20
2,47,1,2.995588,-0.350000,0.200711,2026-03-19 14:39:22
2,47,1,2.990273,0.250000,0.200711,2026-03-19 14:39:25
2,47,1,3.119456,1.100000,0.200711,2026-03-19 14:39:27
2,47,1,3.106759,2.750000,0.200711,2026-03-19 14:39:31
2,47,1,3.090962,4.250000,0.200711,2026-03-19 14:39:34
2,47,2,3.865544,-0.950000,0.200711,2026-03-19 14:39:39
2,47,2,3.870786,-0.350000,0.200711,2026-03-19 14:39:41
2,47,2,3.870786,0.250000,0.200711,2026-03-19 14:39:44
2,47,2,3.590348,1.100000,0.200711,2026-03-19 14:39:47
2,47,2,3.582375,2.750000,0.200711,2026-03-19 14:39:51
2,47,2,3.575289,4.250000,0.200711,2026-03-19 14:39:54
3,49,1,4.691282,-0.950000,0.200711,2026-03-19 14:39:58
3,49,1,4.695342,-0.350000,0.200711,2026-03-19 14:40:00
3,49,1,4.685007,0.250000,0.200711,2026-03-19 14:40:03
3,49,1,4.911557,1.100000,0.200711,2026-03-19 14:40:06
3,49,1,4.904471,2.750000,0.200711,2026-03-19 14:40:09
3,49,1,4.893619,4.250000,0.200711,2026-03-19 14:40:13
3,49,2,5.562788,-0.950000,0.200711,2026-03-19 14:40:18
3,49,2,5.568694,-0.350000,0.200711,2026-03-19 14:40:20
3,49,2,5.571720,0.250000,0.200711,2026-03-19 14:40:23
3,49,2,5.444604,1.100000,0.200711,2026-03-19 14:40:26
3,49,2,5.425190,2.750000,0.200711,2026-03-19 14:40:29
3,49,2,5.432867,4.250000,0.200711,2026-03-19 14:40:32
3,49,2,5.443940,0.950000,0.200711,2026-03-19 14:40:37
3,49,2,5.439880,1.950000,0.200711,2026-03-19 14:40:40
3,49,2,5.410795,3.550000,0.200711,2026-03-19 14:40:43
3,49,2,5.434712,4.350000,0.200711,2026-03-19 14:40:46
4,51,1,6.376198,-0.950000,0.200711,2026-03-19 14:40:50
4,51,1,6.392364,-0.350000,0.200711,2026-03-19 14:40:52
