EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,45,5,1.750000,0.000000,0.290591,2025-12-17 12:39:55
7,56,5,11.950000,0.000000,0.289921,2025-12-17 12:39:59
13,66,5,22.150000,0.000000,0.290315,2025-12-17 12:40:03
19,76,5,32.350000,0.000000,0.289291,2025-12-17 12:40:07
25,87,5,42.550000,0.000000,0.289094,2025-12-17 12:40:11
1,45,3,1.750000,-1.178427,0.239843,2025-12-17 12:40:23
7,56,3,11.950000,-1.178501,0.239843,2025-12-17 12:40:27
13,66,3,22.150000,-1.177172,0.239843,2025-12-17 12:40:31
19,76,3,32.350000,-1.175770,0.239843,2025-12-17 12:40:35
25,87,3,42.550000,-1.176360,0.239843,2025-12-17 12:40:40
1,45,1,1.304672,-0.950000,0.239843,2025-12-17 12:40:51
1,45,1,1.304081,-0.350000,0.239843,2025-12-17 12:40:54
1,45,1,1.303638,0.250000,0.239843,2025-12-17 12:40:56
1,45,1,1.304524,1.100000,0.239843,2025-12-17 12:40:58
1,45,1,1.304967,2.750000,0.239843,2025-12-17 12:41:01
1,45,1,1.305041,4.250000,0.239843,2025-12-17 12:41:04
1,45,2,2.147447,-0.950000,0.239843,2025-12-17 12:41:08
1,45,2,2.154903,-0.350000,0.239843,2025-12-17 12:41:10
1,45,2,2.162137,0.250000,0.239843,2025-12-17 12:41:13
1,45,2,1.776508,1.100000,0.239843,2025-12-17 12:41:16
1,45,2,1.775548,2.750000,0.239843,2025-12-17 12:41:19
1,45,2,1.769495,4.250000,0.239843,2025-12-17 12:41:23
2,47,1,2.992098,-0.950000,0.239843,2025-12-17 12:41:26
2,47,1,2.994755,-0.350000,0.239843,2025-12-17 12:41:29
2,47,1,2.997708,0.250000,0.239843,2025-12-17 12:41:31
2,47,1,3.117664,1.100000,0.239843,2025-12-17 12:41:33
2,47,1,3.106517,2.750000,0.239843,2025-12-17 12:41:37
2,47,1,3.088357,4.250000,0.239843,2025-12-17 12:41:39
2,47,2,3.862703,-0.950000,0.239843,2025-12-17 12:41:44
2,47,2,3.865803,-0.350000,0.239843,2025-12-17 12:41:46
2,47,2,3.867280,0.250000,0.239843,2025-12-17 12:41:48
2,47,2,3.584037,1.100000,0.239843,2025-12-17 12:41:51
2,47,2,3.577393,2.750000,0.239843,2025-12-17 12:41:55
2,47,2,3.571709,4.250000,0.239843,2025-12-17 12:41:58
3,49,1,4.695690,-0.950000,0.239843,2025-12-17 12:42:01
3,49,1,4.699528,-0.350000,0.239843,2025-12-17 12:42:04
3,49,1,4.698569,0.250000,0.239843,2025-12-17 12:42:06
3,49,1,4.915818,1.100000,0.239843,2025-12-17 12:42:09
3,49,1,4.908067,2.750000,0.239843,2025-12-17 12:42:12
3,49,1,4.906664,4.250000,0.239843,2025-12-17 12:42:15
3,49,2,5.565409,-0.950000,0.239843,2025-12-17 12:42:19
3,49,2,5.567255,-0.350000,0.239843,2025-12-17 12:42:22
3,49,2,5.570946,0.250000,0.239843,2025-12-17 12:42:24
3,49,2,5.439991,1.100000,0.239843,2025-12-17 12:42:27
3,49,2,5.421536,2.750000,0.239843,2025-12-17 12:42:30
3,49,2,5.401531,4.250000,0.239843,2025-12-17 12:42:33
4,51,1,6.392343,-0.950000,0.239843,2025-12-17 12:42:36
4,51,1,6.393598,-0.350000,0.239843,2025-12-17 12:42:38
4,51,1,6.398913,0.250000,0.239843,2025-12-17 12:42:41
4,51,1,6.763873,1.100000,0.239843,2025-12-17 12:42:44
4,51,1,6.750881,2.750000,0.239843,2025-12-17 12:42:47
4,51,1,6.745566,4.250000,0.239843,2025-12-17 12:42:51
4,51,2,7.250030,-0.950000,0.239843,2025-12-17 12:42:55
4,51,2,7.253868,-0.350000,0.239843,2025-12-17 12:42:57
4,51,2,7.250251,0.250000,0.239843,2025-12-17 12:43:00
4,51,2,7.250547,1.100000,0.239843,2025-12-17 12:43:02
4,51,2,7.249292,2.750000,0.239843,2025-12-17 12:43:05
4,51,2,7.238588,4.250000,0.239843,2025-12-17 12:43:08
5,52,1,8.092539,-0.950000,0.239843,2025-12-17 12:43:11
5,52,1,8.085157,-0.350000,0.239843,2025-12-17 12:43:13
5,52,1,8.095640,0.250000,0.239843,2025-12-17 12:43:16
5,52,1,8.098740,1.100000,0.239843,2025-12-17 12:43:18
5,52,1,8.094680,2.750000,0.239843,2025-12-17 12:43:21
5,52,1,8.091063,4.250000,0.239843,2025-12-17 12:43:24
5,52,2,8.966023,-0.950000,0.239843,2025-12-17 12:43:28
5,52,2,8.970453,-0.350000,0.239843,2025-12-17 12:43:30
5,52,2,8.973996,0.250000,0.239843,2025-12-17 12:43:32
5,52,2,8.624242,1.100000,0.239843,2025-12-17 12:43:35
5,52,2,8.620182,2.750000,0.239843,2025-12-17 12:43:39
5,52,2,8.621880,4.250000,0.239843,2025-12-17 12:43:42
6,54,1,9.802775,-0.950000,0.239843,2025-12-17 12:43:46
6,54,1,9.805137,-0.350000,0.239843,2025-12-17 12:43:48
6,54,1,9.804473,0.250000,0.239843,2025-12-17 12:43:50
6,54,1,9.969680,1.100000,0.239843,2025-12-17 12:43:53
6,54,1,9.970270,2.750000,0.239843,2025-12-17 12:43:56
6,54,1,9.950487,4.250000,0.239843,2025-12-17 12:43:59
6,54,1,9.970418,0.950000,0.239843,2025-12-17 12:44:03
6,54,1,9.974773,1.950000,0.239843,2025-12-17 12:44:06
6,54,1,9.961707,3.550000,0.239843,2025-12-17 12:44:09
6,54,1,9.950413,4.350000,0.239843,2025-12-17 12:44:12
6,54,2,10.655073,-0.950000,0.239843,2025-12-17 12:44:16
6,54,2,10.659798,-0.350000,0.239843,2025-12-17 12:44:18
6,54,2,10.660167,0.250000,0.239843,2025-12-17 12:44:21
6,54,2,10.501235,1.100000,0.239843,2025-12-17 12:44:24
6,54,2,10.482189,2.750000,0.239843,2025-12-17 12:44:27
6,54,2,10.469050,4.250000,0.239843,2025-12-17 12:44:30
7,56,1,11.498099,-0.950000,0.239843,2025-12-17 12:44:33
