EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,45,5,1.750000,0.000492,0.355171,2025-11-26 16:30:12
2,47,5,3.450000,0.000969,0.354619,2025-11-26 16:30:15
3,49,5,5.150000,0.001447,0.352493,2025-11-26 16:30:18
4,51,5,6.850000,0.001925,0.328202,2025-11-26 16:30:21
5,52,5,8.550000,0.002403,0.347927,2025-11-26 16:30:23
6,54,5,10.250000,0.002880,0.356982,2025-11-26 16:30:26
7,56,5,11.950000,0.003358,0.359423,2025-11-26 16:30:29
8,57,5,13.649999,0.003836,0.361076,2025-11-26 16:30:31
9,59,5,15.349999,0.004313,0.362927,2025-11-26 16:30:34
10,61,5,17.049999,0.004791,0.364029,2025-11-26 16:30:37
11,63,5,18.749999,0.005269,0.365446,2025-11-26 16:30:40
12,64,5,20.449999,0.005746,0.367769,2025-11-26 16:30:42
13,66,5,22.149999,0.006224,0.369619,2025-11-26 16:30:45
14,68,5,23.849999,0.006702,0.371706,2025-11-26 16:30:48
15,69,5,25.549999,0.007179,0.372415,2025-11-26 16:30:50
16,71,5,27.249999,0.007657,0.372021,2025-11-26 16:30:53
17,73,5,28.949999,0.008135,0.372415,2025-11-26 16:30:56
18,75,5,30.649999,0.008613,0.371549,2025-11-26 16:30:59
19,76,5,32.349999,0.009090,0.371982,2025-11-26 16:31:01
20,78,5,34.049999,0.009568,0.372336,2025-11-26 16:31:04
21,80,5,35.749999,0.010046,0.371745,2025-11-26 16:31:07
22,81,5,37.449999,0.010523,0.369895,2025-11-26 16:31:09
23,83,5,39.149998,0.011001,0.369029,2025-11-26 16:31:12
24,85,5,40.849998,0.011479,0.368163,2025-11-26 16:31:15
25,87,5,42.549998,0.011956,0.365722,2025-11-26 16:31:18
26,88,5,44.249998,0.012434,0.371785,2025-11-26 16:31:20
1,45,3,1.750000,-1.288600,0.205171,2025-11-26 16:31:32
2,47,3,3.450000,-1.288822,0.204619,2025-11-26 16:31:35
3,49,3,5.150000,-1.288969,0.202493,2025-11-26 16:31:37
4,51,3,6.850000,-1.288822,0.178202,2025-11-26 16:31:39
5,52,3,8.550000,-1.288453,0.197927,2025-11-26 16:31:42
6,54,3,10.250000,-1.287271,0.206982,2025-11-26 16:31:44
7,56,3,11.950000,-1.286238,0.209423,2025-11-26 16:31:46
8,57,3,13.650000,-1.284762,0.211076,2025-11-26 16:31:48
9,59,3,15.350000,-1.284466,0.212927,2025-11-26 16:31:51
10,61,3,17.050000,-1.283507,0.214029,2025-11-26 16:31:53
11,63,3,18.750000,-1.283581,0.215446,2025-11-26 16:31:55
12,64,3,20.450000,-1.283728,0.217769,2025-11-26 16:31:58
13,66,3,22.150000,-1.284909,0.219619,2025-11-26 16:32:00
14,68,3,23.850000,-1.284762,0.221706,2025-11-26 16:32:03
15,69,3,25.550000,-1.285205,0.222415,2025-11-26 16:32:05
16,71,3,27.250000,-1.285869,0.222021,2025-11-26 16:32:07
17,73,3,28.950000,-1.285795,0.222415,2025-11-26 16:32:09
18,75,3,30.650000,-1.286017,0.221549,2025-11-26 16:32:12
19,76,3,32.350000,-1.286976,0.221982,2025-11-26 16:32:14
20,78,3,34.050000,-1.287271,0.222336,2025-11-26 16:32:16
21,80,3,35.750000,-1.287493,0.221745,2025-11-26 16:32:19
22,81,3,37.450000,-1.288379,0.219895,2025-11-26 16:32:21
23,83,3,39.150000,-1.288674,0.219029,2025-11-26 16:32:23
24,85,3,40.850000,-1.289338,0.218163,2025-11-26 16:32:26
25,87,3,42.550000,-1.290224,0.215722,2025-11-26 16:32:28
26,88,3,44.250000,-1.289117,0.221785,2025-11-26 16:32:30
1,45,1,1.301875,-0.950000,0.205171,2025-11-26 16:32:42
1,45,1,1.301136,-0.350000,0.205171,2025-11-26 16:32:44
1,45,1,1.302022,0.250000,0.205171,2025-11-26 16:32:47
1,45,1,1.301136,1.100000,0.205171,2025-11-26 16:32:49
1,45,1,1.304089,2.750000,0.205171,2025-11-26 16:32:52
1,45,1,1.296191,4.250000,0.205171,2025-11-26 16:32:55
1,45,2,2.149501,-0.950000,0.205171,2025-11-26 16:32:59
1,45,2,2.154669,-0.350000,0.205171,2025-11-26 16:33:01
1,45,2,2.162937,0.250000,0.205171,2025-11-26 16:33:04
1,45,2,1.776495,1.100000,0.205171,2025-11-26 16:33:07
1,45,2,1.775240,2.750000,0.205171,2025-11-26 16:33:10
1,45,2,1.767858,4.250000,0.205171,2025-11-26 16:33:14
2,47,1,2.990851,-0.950000,0.204619,2025-11-26 16:33:17
2,47,1,2.994689,-0.350000,0.204619,2025-11-26 16:33:19
2,47,1,2.999635,0.250000,0.204619,2025-11-26 16:33:22
2,47,1,3.117376,1.100000,0.204619,2025-11-26 16:33:24
2,47,1,3.105860,2.750000,0.204619,2025-11-26 16:33:27
2,47,1,3.090801,4.250000,0.204619,2025-11-26 16:33:30
2,47,2,3.864609,-0.950000,0.204619,2025-11-26 16:33:34
2,47,2,3.868005,-0.350000,0.204619,2025-11-26 16:33:37
2,47,2,3.869260,0.250000,0.204619,2025-11-26 16:33:39
2,47,2,3.585057,1.100000,0.204619,2025-11-26 16:33:42
2,47,2,3.578561,2.750000,0.204619,2025-11-26 16:33:45
2,47,2,3.570884,4.250000,0.204619,2025-11-26 16:33:49
3,49,1,4.694443,-0.950000,0.202493,2025-11-26 16:33:52
3,49,1,4.700939,-0.350000,0.202493,2025-11-26 16:33:54
3,49,1,4.697764,0.250000,0.202493,2025-11-26 16:33:57
3,49,1,4.914423,1.100000,0.202493,2025-11-26 16:33:59
3,49,1,4.907336,2.750000,0.202493,2025-11-26 16:34:03
3,49,1,4.902907,4.250000,0.202493,2025-11-26 16:34:06
3,49,2,5.566282,-0.950000,0.202493,2025-11-26 16:34:10
3,49,2,5.568644,-0.350000,0.202493,2025-11-26 16:34:12
3,49,2,5.573738,0.250000,0.202493,2025-11-26 16:34:15
3,49,2,5.442045,1.100000,0.202493,2025-11-26 16:34:17
3,49,2,5.422261,2.750000,0.202493,2025-11-26 16:34:20
3,49,2,5.402699,4.250000,0.202493,2025-11-26 16:34:24
4,51,1,6.393015,-0.950000,0.178202,2025-11-26 16:34:27
4,51,1,6.392867,-0.350000,0.178202,2025-11-26 16:34:29
4,51,1,6.397739,0.250000,0.178202,2025-11-26 16:34:31
