EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,1,5,1.750000,0.000000,0.286247,2025-12-27 18:04:57
7,11,5,11.950000,0.000000,0.286955,2025-12-27 18:05:02
13,21,5,22.150000,0.000000,0.287113,2025-12-27 18:05:06
19,32,5,32.350000,0.000000,0.286089,2025-12-27 18:05:10
25,42,5,42.550000,0.000000,0.283215,2025-12-27 18:05:15
1,1,3,1.750000,-1.178682,0.135924,2025-12-27 18:05:27
7,11,3,11.950000,-1.182151,0.135924,2025-12-27 18:05:31
13,21,3,22.150000,-1.183849,0.135924,2025-12-27 18:05:36
19,32,3,32.350000,-1.183997,0.135924,2025-12-27 18:05:41
25,42,3,42.550000,-1.184440,0.135924,2025-12-27 18:05:45
1,1,1,1.321544,-0.950000,0.135924,2025-12-27 18:05:58
1,1,1,1.314162,-0.350000,0.135924,2025-12-27 18:06:00
1,1,1,1.304934,0.250000,0.135924,2025-12-27 18:06:03
1,1,1,1.312243,1.100000,0.135924,2025-12-27 18:06:06
1,1,1,1.319698,2.750000,0.135924,2025-12-27 18:06:09
1,1,1,1.318222,4.250000,0.135924,2025-12-27 18:06:12
1,1,2,2.179735,-0.950000,0.135924,2025-12-27 18:06:17
1,1,2,2.175823,-0.350000,0.135924,2025-12-27 18:06:20
1,1,2,2.169253,0.250000,0.135924,2025-12-27 18:06:23
1,1,2,2.063987,1.100000,0.135924,2025-12-27 18:06:26
1,1,2,2.045164,2.750000,0.135924,2025-12-27 18:06:29
1,1,2,2.054243,4.250000,0.135924,2025-12-27 18:06:32
1,1,2,2.066571,0.950000,0.135924,2025-12-27 18:06:37
1,1,2,2.036527,1.950000,0.135924,2025-12-27 18:06:40
1,1,2,2.049519,3.550000,0.135924,2025-12-27 18:06:44
1,1,2,2.054170,4.350000,0.135924,2025-12-27 18:06:47
2,3,1,3.008969,-0.950000,0.135924,2025-12-27 18:06:50
2,3,1,3.010077,-0.350000,0.135924,2025-12-27 18:06:53
2,3,1,3.006460,0.250000,0.135924,2025-12-27 18:06:56
2,3,1,3.372970,1.100000,0.135924,2025-12-27 18:06:59
2,3,1,3.392311,2.750000,0.135924,2025-12-27 18:07:03
2,3,1,3.399619,4.250000,0.135924,2025-12-27 18:07:07
2,3,2,3.851659,-0.950000,0.135924,2025-12-27 18:07:12
2,3,2,3.862437,-0.350000,0.135924,2025-12-27 18:07:15
2,3,2,3.860370,0.250000,0.135924,2025-12-27 18:07:17
2,3,2,3.865020,1.100000,0.135924,2025-12-27 18:07:20
2,3,2,3.865242,2.750000,0.135924,2025-12-27 18:07:23
2,3,2,3.899789,4.250000,0.135924,2025-12-27 18:07:27
2,3,2,3.864208,0.950000,0.135924,2025-12-27 18:07:31
2,3,2,3.856753,1.950000,0.135924,2025-12-27 18:07:34
2,3,2,3.888200,3.550000,0.135924,2025-12-27 18:07:37
2,3,2,3.900306,4.350000,0.135924,2025-12-27 18:07:40
3,4,1,4.710199,-0.950000,0.135924,2025-12-27 18:07:44
3,4,1,4.709240,-0.350000,0.135924,2025-12-27 18:07:46
3,4,1,4.712783,0.250000,0.135924,2025-12-27 18:07:49
3,4,1,4.715883,1.100000,0.135924,2025-12-27 18:07:52
3,4,1,4.716179,2.750000,0.135924,2025-12-27 18:07:55
3,4,1,4.713300,4.250000,0.135924,2025-12-27 18:07:58
3,4,2,5.587067,-0.950000,0.135924,2025-12-27 18:08:03
3,4,2,5.590832,-0.350000,0.135924,2025-12-27 18:08:06
3,4,2,5.580940,0.250000,0.135924,2025-12-27 18:08:08
3,4,2,5.241595,1.100000,0.135924,2025-12-27 18:08:12
3,4,2,5.237683,2.750000,0.135924,2025-12-27 18:08:16
3,4,2,5.243809,4.250000,0.135924,2025-12-27 18:08:19
4,6,1,6.413570,-0.950000,0.135924,2025-12-27 18:08:23
4,6,1,6.416523,-0.350000,0.135924,2025-12-27 18:08:26
4,6,1,6.420509,0.250000,0.135924,2025-12-27 18:08:29
4,6,1,6.581508,1.100000,0.135924,2025-12-27 18:08:32
4,6,1,6.584608,2.750000,0.135924,2025-12-27 18:08:35
4,6,1,6.574643,4.250000,0.135924,2025-12-27 18:08:39
4,6,2,7.307269,-0.950000,0.135924,2025-12-27 18:08:44
4,6,2,7.268440,-0.350000,0.135924,2025-12-27 18:08:46
4,6,2,7.275084,0.250000,0.135924,2025-12-27 18:08:49
4,6,2,7.116594,1.100000,0.135924,2025-12-27 18:08:52
4,6,2,7.118145,2.750000,0.135924,2025-12-27 18:08:56
4,6,2,7.129439,4.250000,0.135924,2025-12-27 18:08:59
4,6,2,7.272205,-1.050000,0.135924,2025-12-27 18:09:04
4,6,2,7.269400,-0.650000,0.135924,2025-12-27 18:09:07
4,6,2,7.272943,-0.050000,0.135924,2025-12-27 18:09:10
4,6,2,7.273238,0.350000,0.135924,2025-12-27 18:09:12
5,8,1,8.115833,-0.950000,0.135924,2025-12-27 18:09:15
5,8,1,8.111626,-0.350000,0.135924,2025-12-27 18:09:18
5,8,1,8.112364,0.250000,0.135924,2025-12-27 18:09:20
5,8,1,8.469278,1.100000,0.135924,2025-12-27 18:09:24
5,8,1,8.481015,2.750000,0.135924,2025-12-27 18:09:27
