EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,45,5,1.750000,0.000000,0.290512,2025-12-17 13:34:14
7,56,5,11.950000,0.000000,0.290276,2025-12-17 13:34:18
13,66,5,22.150000,0.000000,0.290591,2025-12-17 13:34:22
19,76,5,32.350000,0.000000,0.289764,2025-12-17 13:34:26
25,87,5,42.550000,0.000000,0.289252,2025-12-17 13:34:30
1,45,3,1.750000,-1.178059,0.240079,2025-12-17 13:34:42
7,56,3,11.950000,-1.178502,0.240079,2025-12-17 13:34:46
13,66,3,22.150000,-1.177468,0.240079,2025-12-17 13:34:50
19,76,3,32.350000,-1.175549,0.240079,2025-12-17 13:34:54
25,87,3,42.550000,-1.175918,0.240079,2025-12-17 13:34:59
1,45,1,1.305070,-0.950000,0.240079,2025-12-17 13:35:10
1,45,1,1.304775,-0.350000,0.240079,2025-12-17 13:35:13
1,45,1,1.302856,0.250000,0.240079,2025-12-17 13:35:15
1,45,1,1.305070,1.100000,0.240079,2025-12-17 13:35:17
1,45,1,1.304701,2.750000,0.240079,2025-12-17 13:35:20
1,45,1,1.305218,4.250000,0.240079,2025-12-17 13:35:23
1,45,2,2.147206,-0.950000,0.240079,2025-12-17 13:35:27
1,45,2,2.155031,-0.350000,0.240079,2025-12-17 13:35:30
1,45,2,2.162265,0.250000,0.240079,2025-12-17 13:35:32
1,45,2,1.776635,1.100000,0.240079,2025-12-17 13:35:35
1,45,2,1.775897,2.750000,0.240079,2025-12-17 13:35:39
1,45,2,1.768884,4.250000,0.240079,2025-12-17 13:35:42
2,47,1,2.992275,-0.950000,0.240079,2025-12-17 13:35:46
2,47,1,2.995080,-0.350000,0.240079,2025-12-17 13:35:48
2,47,1,2.998032,0.250000,0.240079,2025-12-17 13:35:50
2,47,1,3.117324,1.100000,0.240079,2025-12-17 13:35:53
2,47,1,3.106325,2.750000,0.240079,2025-12-17 13:35:56
2,47,1,3.088313,4.250000,0.240079,2025-12-17 13:35:59
2,47,2,3.862314,-0.950000,0.240079,2025-12-17 13:36:03
2,47,2,3.866300,-0.350000,0.240079,2025-12-17 13:36:05
2,47,2,3.866743,0.250000,0.240079,2025-12-17 13:36:07
