EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,1,5,1.750000,0.000000,0.232257,2026-06-07 10:59:48
7,11,5,11.950000,0.000000,0.255367,2026-06-07 10:59:52
13,21,5,22.150000,0.000000,0.256982,2026-06-07 10:59:57
19,32,5,32.350000,0.000000,0.249501,2026-06-07 11:00:01
25,42,5,42.550000,0.000000,0.253005,2026-06-07 11:00:05
1,1,3,1.750000,-1.184600,0.099423,2026-06-07 11:00:18
7,11,3,11.950000,-1.194566,0.099423,2026-06-07 11:00:22
13,21,3,22.150000,-1.210880,0.099423,2026-06-07 11:00:27
19,32,3,32.350000,-1.219812,0.099423,2026-06-07 11:00:31
25,42,3,42.550000,-1.201210,0.099423,2026-06-07 11:00:36
1,1,1,1.287649,-0.950000,0.099423,2026-06-07 11:00:48
1,1,1,1.291045,-0.350000,0.099423,2026-06-07 11:00:51
1,1,1,1.292373,0.250000,0.099423,2026-06-07 11:00:53
1,1,1,1.299017,1.100000,0.099423,2026-06-07 11:00:56
1,1,1,1.315479,2.750000,0.099423,2026-06-07 11:00:59
1,1,1,1.324854,4.250000,0.099423,2026-06-07 11:01:03
1,1,2,2.157923,-0.950000,0.099423,2026-06-07 11:01:08
1,1,2,2.155782,-0.350000,0.099423,2026-06-07 11:01:10
1,1,2,2.152091,0.250000,0.099423,2026-06-07 11:01:13
1,1,2,2.048966,1.100000,0.099423,2026-06-07 11:01:16
1,1,2,2.041658,2.750000,0.099423,2026-06-07 11:01:19
1,1,2,2.057086,4.250000,0.099423,2026-06-07 11:01:23
1,1,2,2.050959,0.950000,0.099423,2026-06-07 11:01:27
1,1,2,1.994635,1.950000,0.099423,2026-06-07 11:01:30
1,1,2,2.049999,3.550000,0.099423,2026-06-07 11:01:34
1,1,2,2.057972,4.350000,0.099423,2026-06-07 11:01:37
2,3,1,2.991536,-0.950000,0.099423,2026-06-07 11:01:41
2,3,1,2.993529,-0.350000,0.099423,2026-06-07 11:01:43
2,3,1,2.990872,0.250000,0.099423,2026-06-07 11:01:46
2,3,1,3.345941,1.100000,0.099423,2026-06-07 11:01:49
2,3,1,3.353913,2.750000,0.099423,2026-06-07 11:01:53
2,3,1,3.328077,4.250000,0.099423,2026-06-07 11:01:57
2,3,1,3.345203,0.950000,0.099423,2026-06-07 11:02:02
2,3,1,3.360114,1.950000,0.099423,2026-06-07 11:02:05
2,3,1,3.342840,3.550000,0.099423,2026-06-07 11:02:09
2,3,1,3.324902,4.350000,0.099423,2026-06-07 11:02:12
2,3,2,3.835235,-0.950000,0.099423,2026-06-07 11:02:17
2,3,2,3.840550,-0.350000,0.099423,2026-06-07 11:02:20
2,3,2,3.836047,0.250000,0.099423,2026-06-07 11:02:23
2,3,2,3.833316,1.100000,0.099423,2026-06-07 11:02:26
2,3,2,3.811835,2.750000,0.099423,2026-06-07 11:02:29
2,3,2,3.824458,4.250000,0.099423,2026-06-07 11:02:32
2,3,2,3.834276,0.950000,0.099423,2026-06-07 11:02:36
2,3,2,3.808439,1.950000,0.099423,2026-06-07 11:02:39
2,3,2,3.823867,3.550000,0.099423,2026-06-07 11:02:43
2,3,2,3.823646,4.350000,0.099423,2026-06-07 11:02:46
3,4,1,4.685827,-0.950000,0.099423,2026-06-07 11:02:49
3,4,1,4.686713,-0.350000,0.099423,2026-06-07 11:02:52
3,4,1,4.693873,0.250000,0.099423,2026-06-07 11:02:55
3,4,1,4.694021,1.100000,0.099423,2026-06-07 11:02:57
3,4,1,4.693357,2.750000,0.099423,2026-06-07 11:03:01
3,4,1,4.687082,4.250000,0.099423,2026-06-07 11:03:04
3,4,2,5.566657,-0.950000,0.099423,2026-06-07 11:03:09
3,4,2,5.568502,-0.350000,0.099423,2026-06-07 11:03:11
3,4,2,5.562745,0.250000,0.099423,2026-06-07 11:03:14
3,4,2,5.220446,1.100000,0.099423,2026-06-07 11:03:17
3,4,2,5.212326,2.750000,0.099423,2026-06-07 11:03:21
3,4,2,5.216239,4.250000,0.099423,2026-06-07 11:03:25
4,6,1,6.388533,-0.950000,0.099423,2026-06-07 11:03:29
4,6,1,6.397466,-0.350000,0.099423,2026-06-07 11:03:32
4,6,1,6.401526,0.250000,0.099423,2026-06-07 11:03:34
4,6,1,6.570054,1.100000,0.099423,2026-06-07 11:03:37
4,6,1,6.571752,2.750000,0.099423,2026-06-07 11:03:41
4,6,1,6.566658,4.250000,0.099423,2026-06-07 11:03:44
4,6,2,7.264565,-0.950000,0.099423,2026-06-07 11:03:49
4,6,2,7.246184,-0.350000,0.099423,2026-06-07 11:03:52
4,6,2,7.249285,0.250000,0.099423,2026-06-07 11:03:55
4,6,2,7.096996,1.100000,0.099423,2026-06-07 11:03:58
4,6,2,7.099949,2.750000,0.099423,2026-06-07 11:04:01
4,6,2,7.117961,4.250000,0.099423,2026-06-07 11:04:05
4,6,2,7.255338,-1.050000,0.099423,2026-06-07 11:04:10
4,6,2,7.247144,-0.650000,0.099423,2026-06-07 11:04:13
4,6,2,7.248177,-0.050000,0.099423,2026-06-07 11:04:16
4,6,2,7.250909,0.350000,0.099423,2026-06-07 11:04:18
5,8,1,8.092716,-0.950000,0.099423,2026-06-07 11:04:21
5,8,1,8.091535,-0.350000,0.099423,2026-06-07 11:04:23
5,8,1,8.091018,0.250000,0.099423,2026-06-07 11:04:26
5,8,1,8.444242,1.100000,0.099423,2026-06-07 11:04:29
5,8,1,8.442175,2.750000,0.099423,2026-06-07 11:04:33
5,8,1,8.449335,4.250000,0.099423,2026-06-07 11:04:37
5,8,2,8.965573,-0.950000,0.099423,2026-06-07 11:04:42
5,8,2,8.969117,-0.350000,0.099423,2026-06-07 11:04:45
5,8,2,8.967419,0.250000,0.099423,2026-06-07 11:04:47
5,8,2,8.970962,1.100000,0.099423,2026-06-07 11:04:50
5,8,2,8.987793,2.750000,0.099423,2026-06-07 11:04:53
5,8,2,8.998275,4.250000,0.099423,2026-06-07 11:04:56
6,9,1,9.800073,-0.950000,0.099423,2026-06-07 11:05:00
6,9,1,9.802657,-0.350000,0.099423,2026-06-07 11:05:03
6,9,1,9.805093,0.250000,0.099423,2026-06-07 11:05:05
6,9,1,9.804207,1.100000,0.099423,2026-06-07 11:05:08
6,9,1,9.803616,2.750000,0.099423,2026-06-07 11:05:11
6,9,1,9.803764,4.250000,0.099423,2026-06-07 11:05:15
6,9,2,10.650711,-0.950000,0.099423,2026-06-07 11:05:20
6,9,2,10.650416,-0.350000,0.099423,2026-06-07 11:05:22
6,9,2,10.647315,0.250000,0.099423,2026-06-07 11:05:25
6,9,2,10.287817,1.100000,0.099423,2026-06-07 11:05:29
6,9,2,10.268329,2.750000,0.099423,2026-06-07 11:05:33
6,9,2,10.264269,4.250000,0.099423,2026-06-07 11:05:36
7,11,1,11.490230,-0.950000,0.099423,2026-06-07 11:05:40
7,11,1,11.496136,-0.350000,0.099423,2026-06-07 11:05:43
7,11,1,11.498129,0.250000,0.099423,2026-06-07 11:05:45
7,11,1,11.615205,1.100000,0.099423,2026-06-07 11:05:48
7,11,1,11.613803,2.750000,0.099423,2026-06-07 11:05:52
7,11,1,11.590476,4.250000,0.099423,2026-06-07 11:05:55
7,11,1,11.613950,0.950000,0.099423,2026-06-07 11:06:00
7,11,1,11.617051,1.950000,0.099423,2026-06-07 11:06:03
7,11,1,11.583020,3.550000,0.099423,2026-06-07 11:06:06
7,11,1,11.586195,4.350000,0.099423,2026-06-07 11:06:09
7,11,2,12.363087,-0.950000,0.099423,2026-06-07 11:06:14
7,11,2,12.366409,-0.350000,0.099423,2026-06-07 11:06:17
7,11,2,12.369288,0.250000,0.099423,2026-06-07 11:06:19
7,11,2,12.137054,1.100000,0.099423,2026-06-07 11:06:22
7,11,2,12.127015,2.750000,0.099423,2026-06-07 11:06:26
7,11,2,12.124948,4.250000,0.099423,2026-06-07 11:06:30
8,13,1,13.192936,-0.950000,0.099423,2026-06-07 11:06:34
8,13,1,13.199359,-0.350000,0.099423,2026-06-07 11:06:36
8,13,1,13.200392,0.250000,0.099423,2026-06-07 11:06:39
8,13,1,13.446357,1.100000,0.099423,2026-06-07 11:06:42
8,13,1,13.451081,2.750000,0.099423,2026-06-07 11:06:46
8,13,1,13.446504,4.250000,0.099423,2026-06-07 11:06:49
8,13,2,14.054130,-0.950000,0.099423,2026-06-07 11:06:54
8,13,2,14.062841,-0.350000,0.099423,2026-06-07 11:06:57
8,13,2,14.062619,0.250000,0.099423,2026-06-07 11:07:00
8,13,2,13.916089,1.100000,0.099423,2026-06-07 11:07:03
8,13,2,13.920887,2.750000,0.099423,2026-06-07 11:07:06
8,13,2,13.948053,4.250000,0.099423,2026-06-07 11:07:10
8,13,2,13.915203,0.950000,0.099423,2026-06-07 11:07:14
8,13,2,13.916827,1.950000,0.099423,2026-06-07 11:07:17
8,13,2,13.933510,3.550000,0.099423,2026-06-07 11:07:21
8,13,2,13.949898,4.350000,0.099423,2026-06-07 11:07:24
9,15,1,14.898817,-0.950000,0.099423,2026-06-07 11:07:28
9,15,1,14.901400,-0.350000,0.099423,2026-06-07 11:07:30
9,15,1,14.899924,0.250000,0.099423,2026-06-07 11:07:33
9,15,1,15.267616,1.100000,0.099423,2026-06-07 11:07:36
