EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,45,5,1.750000,0.000000,0.286430,2026-06-07 13:01:47
7,56,5,11.950000,0.000000,0.285210,2026-06-07 13:01:52
13,66,5,22.150000,0.000000,0.283241,2026-06-07 13:01:56
19,76,5,32.350000,0.000000,0.281155,2026-06-07 13:02:01
25,87,5,42.550000,0.000000,0.287730,2026-06-07 13:02:05
1,45,3,1.750000,-1.216636,0.134753,2026-06-07 13:02:17
7,56,3,11.950000,-1.237748,0.134753,2026-06-07 13:02:22
13,66,3,22.150000,-1.208590,0.134753,2026-06-07 13:02:26
19,76,3,32.350000,-1.227414,0.134753,2026-06-07 13:02:31
25,87,3,42.550000,-1.213757,0.134753,2026-06-07 13:02:35
1,45,1,1.319103,-0.950000,0.134753,2026-06-07 13:02:48
1,45,1,1.318808,-0.350000,0.134753,2026-06-07 13:02:50
1,45,1,1.321982,0.250000,0.134753,2026-06-07 13:02:53
1,45,1,1.324122,1.100000,0.134753,2026-06-07 13:02:56
1,45,1,1.331357,2.750000,0.134753,2026-06-07 13:02:59
1,45,1,1.334531,4.250000,0.134753,2026-06-07 13:03:02
1,45,2,2.165705,-0.950000,0.134753,2026-06-07 13:03:07
1,45,2,2.172792,-0.350000,0.134753,2026-06-07 13:03:10
1,45,2,2.185489,0.250000,0.134753,2026-06-07 13:03:13
1,45,2,1.804436,1.100000,0.134753,2026-06-07 13:03:16
1,45,2,1.803919,2.750000,0.134753,2026-06-07 13:03:20
1,45,2,1.801483,4.250000,0.134753,2026-06-07 13:03:24
2,47,1,3.021809,-0.950000,0.134753,2026-06-07 13:03:28
2,47,1,3.024245,-0.350000,0.134753,2026-06-07 13:03:30
2,47,1,3.029339,0.250000,0.134753,2026-06-07 13:03:33
2,47,1,3.145382,1.100000,0.134753,2026-06-07 13:03:36
2,47,1,3.133645,2.750000,0.134753,2026-06-07 13:03:39
2,47,1,3.121169,4.250000,0.134753,2026-06-07 13:03:43
2,47,2,3.891074,-0.950000,0.134753,2026-06-07 13:03:48
2,47,2,3.892919,-0.350000,0.134753,2026-06-07 13:03:50
2,47,2,3.895208,0.250000,0.134753,2026-06-07 13:03:53
2,47,2,3.615730,1.100000,0.134753,2026-06-07 13:03:56
2,47,2,3.606059,2.750000,0.134753,2026-06-07 13:04:00
2,47,2,3.592477,4.250000,0.134753,2026-06-07 13:04:04
3,49,1,4.722596,-0.950000,0.134753,2026-06-07 13:04:08
3,49,1,4.725549,-0.350000,0.134753,2026-06-07 13:04:10
3,49,1,4.729387,0.250000,0.134753,2026-06-07 13:04:13
3,49,1,4.949737,1.100000,0.134753,2026-06-07 13:04:16
3,49,1,4.948925,2.750000,0.134753,2026-06-07 13:04:20
3,49,1,4.945751,4.250000,0.134753,2026-06-07 13:04:23
3,49,2,5.593854,-0.950000,0.134753,2026-06-07 13:04:28
3,49,2,5.598431,-0.350000,0.134753,2026-06-07 13:04:31
3,49,2,5.603820,0.250000,0.134753,2026-06-07 13:04:34
3,49,2,5.482166,1.100000,0.134753,2026-06-07 13:04:36
3,49,2,5.465852,2.750000,0.134753,2026-06-07 13:04:40
3,49,2,5.450424,4.250000,0.134753,2026-06-07 13:04:43
4,51,1,6.411720,-0.950000,0.134753,2026-06-07 13:04:47
4,51,1,6.423162,-0.350000,0.134753,2026-06-07 13:04:50
4,51,1,6.436670,0.250000,0.134753,2026-06-07 13:04:52
4,51,1,6.807094,1.100000,0.134753,2026-06-07 13:04:56
4,51,1,6.802812,2.750000,0.134753,2026-06-07 13:05:00
4,51,1,6.807094,4.250000,0.134753,2026-06-07 13:05:04
4,51,2,7.290286,-0.950000,0.134753,2026-06-07 13:05:09
4,51,2,7.304607,-0.350000,0.134753,2026-06-07 13:05:11
4,51,2,7.291614,0.250000,0.134753,2026-06-07 13:05:14
4,51,2,7.295010,1.100000,0.134753,2026-06-07 13:05:17
4,51,2,7.304237,2.750000,0.134753,2026-06-07 13:05:20
4,51,2,7.306673,4.250000,0.134753,2026-06-07 13:05:23
4,51,2,7.288662,-1.050000,0.134753,2026-06-07 13:05:28
4,51,2,7.296486,-0.650000,0.134753,2026-06-07 13:05:31
4,51,2,7.302835,-0.050000,0.134753,2026-06-07 13:05:33
4,51,2,7.291245,0.350000,0.134753,2026-06-07 13:05:36
5,52,1,8.107856,-0.950000,0.134753,2026-06-07 13:05:39
5,52,1,8.105641,-0.350000,0.134753,2026-06-07 13:05:41
5,52,1,8.120110,0.250000,0.134753,2026-06-07 13:05:44
5,52,1,8.123063,1.100000,0.134753,2026-06-07 13:05:47
5,52,1,8.118117,2.750000,0.134753,2026-06-07 13:05:50
5,52,1,8.114204,4.250000,0.134753,2026-06-07 13:05:53
5,52,2,8.989301,-0.950000,0.134753,2026-06-07 13:05:58
5,52,2,8.994764,-0.350000,0.134753,2026-06-07 13:06:01
5,52,2,8.998159,0.250000,0.134753,2026-06-07 13:06:03
5,52,2,8.648996,1.100000,0.134753,2026-06-07 13:06:07
5,52,2,8.645748,2.750000,0.134753,2026-06-07 13:06:10
5,52,2,8.648258,4.250000,0.134753,2026-06-07 13:06:14
6,54,1,9.820602,-0.950000,0.134753,2026-06-07 13:06:18
6,54,1,9.824366,-0.350000,0.134753,2026-06-07 13:06:21
