EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,1,5,1.750000,0.000000,0.395315,2026-07-24 14:58:13
3,4,5,5.150000,0.000000,0.393583,2026-07-24 14:58:16
5,8,5,8.550000,0.000000,0.395472,2026-07-24 14:58:19
7,11,5,11.950000,0.000000,0.393819,2026-07-24 14:58:22
9,15,5,15.350000,0.000000,0.396654,2026-07-24 14:58:25
11,18,5,18.750000,0.000000,0.398031,2026-07-24 14:58:28
13,21,5,22.150000,0.000000,0.398268,2026-07-24 14:58:32
15,25,5,25.550000,0.000000,0.398071,2026-07-24 14:58:35
17,28,5,28.950000,0.000000,0.395787,2026-07-24 14:58:38
19,32,5,32.350000,0.000000,0.392165,2026-07-24 14:58:41
21,35,5,35.750000,0.000000,0.395236,2026-07-24 14:58:44
23,39,5,39.150000,0.000000,0.394764,2026-07-24 14:58:47
25,42,5,42.550000,0.000000,0.398268,2026-07-24 14:58:50
1,1,3,1.750000,-1.184203,0.245803,2026-07-24 14:59:02
3,4,3,5.150000,-1.183243,0.245803,2026-07-24 14:59:05
5,8,3,8.550000,-1.182136,0.245803,2026-07-24 14:59:09
7,11,3,11.950000,-1.183095,0.245803,2026-07-24 14:59:12
9,15,3,15.350000,-1.181471,0.245803,2026-07-24 14:59:15
11,18,3,18.750000,-1.182726,0.245803,2026-07-24 14:59:18
13,21,3,22.150000,-1.181914,0.245803,2026-07-24 14:59:22
15,25,3,25.550000,-1.181693,0.245803,2026-07-24 14:59:25
17,28,3,28.950000,-1.181176,0.245803,2026-07-24 14:59:28
19,32,3,32.350000,-1.181914,0.245803,2026-07-24 14:59:31
21,35,3,35.750000,-1.181102,0.245803,2026-07-24 14:59:35
23,39,3,39.150000,-1.180512,0.245803,2026-07-24 14:59:38
25,42,3,42.550000,-1.180069,0.245803,2026-07-24 14:59:41
1,1,1,1.280946,-0.950000,0.245803,2026-07-24 14:59:53
1,1,1,1.274450,-0.350000,0.245803,2026-07-24 14:59:56
1,1,1,1.274524,0.250000,0.245803,2026-07-24 14:59:59
1,1,1,1.274598,1.100000,0.245803,2026-07-24 15:00:01
1,1,1,1.272457,2.750000,0.245803,2026-07-24 15:00:04
1,1,1,1.271645,4.250000,0.245803,2026-07-24 15:00:08
1,1,2,2.175113,-0.950000,0.245803,2026-07-24 15:00:13
1,1,2,2.175777,-0.350000,0.245803,2026-07-24 15:00:15
1,1,2,2.178139,0.250000,0.245803,2026-07-24 15:00:18
1,1,2,2.039360,1.100000,0.245803,2026-07-24 15:00:21
1,1,2,2.023341,2.750000,0.245803,2026-07-24 15:00:24
1,1,2,2.028139,4.250000,0.245803,2026-07-24 15:00:28
1,1,2,2.040762,0.950000,0.245803,2026-07-24 15:00:32
1,1,2,2.032495,1.950000,0.245803,2026-07-24 15:00:35
1,1,2,2.028582,3.550000,0.245803,2026-07-24 15:00:39
1,1,2,2.028213,4.350000,0.245803,2026-07-24 15:00:42
2,3,1,2.987344,-0.950000,0.245803,2026-07-24 15:00:46
2,3,1,2.977304,-0.350000,0.245803,2026-07-24 15:00:48
2,3,1,2.978190,0.250000,0.245803,2026-07-24 15:00:51
2,3,1,3.361089,1.100000,0.245803,2026-07-24 15:00:54
2,3,1,3.348761,2.750000,0.245803,2026-07-24 15:00:58
2,3,1,3.341379,4.250000,0.245803,2026-07-24 15:01:02
2,3,2,3.820609,-0.950000,0.245803,2026-07-24 15:01:07
2,3,2,3.820093,-0.350000,0.245803,2026-07-24 15:01:10
2,3,2,3.817214,0.250000,0.245803,2026-07-24 15:01:13
2,3,2,3.812932,1.100000,0.245803,2026-07-24 15:01:15
2,3,2,3.811899,2.750000,0.245803,2026-07-24 15:01:19
2,3,2,3.807322,4.250000,0.245803,2026-07-24 15:01:22
3,4,1,4.678682,-0.950000,0.245803,2026-07-24 15:01:26
3,4,1,4.677132,-0.350000,0.245803,2026-07-24 15:01:28
3,4,1,4.681339,0.250000,0.245803,2026-07-24 15:01:31
3,4,1,4.686507,1.100000,0.245803,2026-07-24 15:01:34
3,4,1,4.695512,2.750000,0.245803,2026-07-24 15:01:37
3,4,1,4.704002,4.250000,0.245803,2026-07-24 15:01:40
3,4,2,5.503385,-0.950000,0.245803,2026-07-24 15:01:45
3,4,2,5.515343,-0.350000,0.245803,2026-07-24 15:01:48
3,4,2,5.518665,0.250000,0.245803,2026-07-24 15:01:51
3,4,2,5.188104,1.100000,0.245803,2026-07-24 15:01:54
3,4,2,5.189802,2.750000,0.245803,2026-07-24 15:01:58
3,4,2,5.192902,4.250000,0.245803,2026-07-24 15:02:02
4,6,1,6.397259,-0.950000,0.245803,2026-07-24 15:02:06
4,6,1,6.389360,-0.350000,0.245803,2026-07-24 15:02:08
4,6,1,6.390542,0.250000,0.245803,2026-07-24 15:02:11
4,6,1,6.585719,1.100000,0.245803,2026-07-24 15:02:14
4,6,1,6.583578,2.750000,0.245803,2026-07-24 15:02:18
4,6,1,6.598563,4.250000,0.245803,2026-07-24 15:02:21
4,6,2,7.242041,-0.950000,0.245803,2026-07-24 15:02:26
4,6,2,7.243369,-0.350000,0.245803,2026-07-24 15:02:29
4,6,2,7.246174,0.250000,0.245803,2026-07-24 15:02:32
4,6,2,7.081189,1.100000,0.245803,2026-07-24 15:02:35
4,6,2,7.079344,2.750000,0.245803,2026-07-24 15:02:38
4,6,2,7.083994,4.250000,0.245803,2026-07-24 15:02:42
5,8,1,8.086678,-0.950000,0.245803,2026-07-24 15:02:46
5,8,1,8.080994,-0.350000,0.245803,2026-07-24 15:02:48
5,8,1,8.083725,0.250000,0.245803,2026-07-24 15:02:51
5,8,1,8.465885,1.100000,0.245803,2026-07-24 15:02:54
5,8,1,8.459168,2.750000,0.245803,2026-07-24 15:02:58
5,8,1,8.472382,4.250000,0.245803,2026-07-24 15:03:02
5,8,1,8.465147,0.950000,0.245803,2026-07-24 15:03:07
5,8,1,8.462933,1.950000,0.245803,2026-07-24 15:03:10
5,8,1,8.456068,3.550000,0.245803,2026-07-24 15:03:14
5,8,1,8.476515,4.350000,0.245803,2026-07-24 15:03:18
5,8,2,8.952350,-0.950000,0.245803,2026-07-24 15:03:23
5,8,2,8.952867,-0.350000,0.245803,2026-07-24 15:03:25
5,8,2,8.954122,0.250000,0.245803,2026-07-24 15:03:28
5,8,2,8.955524,1.100000,0.245803,2026-07-24 15:03:31
5,8,2,8.961356,2.750000,0.245803,2026-07-24 15:03:34
5,8,2,8.961504,4.250000,0.245803,2026-07-24 15:03:37
6,9,1,9.783479,-0.950000,0.245803,2026-07-24 15:03:41
6,9,1,9.780378,-0.350000,0.245803,2026-07-24 15:03:44
6,9,1,9.780526,0.250000,0.245803,2026-07-24 15:03:46
6,9,1,9.784143,1.100000,0.245803,2026-07-24 15:03:49
6,9,1,9.784069,2.750000,0.245803,2026-07-24 15:03:52
6,9,1,9.786210,4.250000,0.245803,2026-07-24 15:03:55
6,9,2,10.634166,-0.950000,0.245803,2026-07-24 15:04:01
6,9,2,10.639259,-0.350000,0.245803,2026-07-24 15:04:03
6,9,2,10.644427,0.250000,0.245803,2026-07-24 15:04:06
6,9,2,10.259313,1.100000,0.245803,2026-07-24 15:04:09
6,9,2,10.262414,2.750000,0.245803,2026-07-24 15:04:13
6,9,2,10.262635,4.250000,0.245803,2026-07-24 15:04:17
7,11,1,11.490171,-0.950000,0.245803,2026-07-24 15:04:21
7,11,1,11.484413,-0.350000,0.245803,2026-07-24 15:04:24
7,11,1,11.485668,0.250000,0.245803,2026-07-24 15:04:26
7,11,1,11.619354,1.100000,0.245803,2026-07-24 15:04:29
7,11,1,11.616475,2.750000,0.245803,2026-07-24 15:04:33
7,11,1,11.620757,4.250000,0.245803,2026-07-24 15:04:36
7,11,2,12.331926,-0.950000,0.245803,2026-07-24 15:04:41
7,11,2,12.333772,-0.350000,0.245803,2026-07-24 15:04:44
7,11,2,12.337610,0.250000,0.245803,2026-07-24 15:04:47
7,11,2,12.080351,1.100000,0.245803,2026-07-24 15:04:50
7,11,2,12.082861,2.750000,0.245803,2026-07-24 15:04:54
7,11,2,12.083526,4.250000,0.245803,2026-07-24 15:04:57
8,13,1,13.180697,-0.950000,0.245803,2026-07-24 15:05:01
8,13,1,13.176047,-0.350000,0.245803,2026-07-24 15:05:04
8,13,1,13.178040,0.250000,0.245803,2026-07-24 15:05:06
8,13,1,13.443788,1.100000,0.245803,2026-07-24 15:05:10
8,13,1,13.436111,2.750000,0.245803,2026-07-24 15:05:13
8,13,1,13.441869,4.250000,0.245803,2026-07-24 15:05:17
8,13,2,14.037807,-0.950000,0.245803,2026-07-24 15:05:22
8,13,2,14.038840,-0.350000,0.245803,2026-07-24 15:05:25
8,13,2,14.039800,0.250000,0.245803,2026-07-24 15:05:27
8,13,2,13.907590,1.100000,0.245803,2026-07-24 15:05:30
8,13,2,13.900061,2.750000,0.245803,2026-07-24 15:05:34
8,13,2,13.897551,4.250000,0.245803,2026-07-24 15:05:37
9,15,1,14.890269,-0.950000,0.245803,2026-07-24 15:05:41
