EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,45,5,1.750000,0.000000,0.415210,2026-07-02 15:22:42
7,56,5,11.950000,0.000000,0.414029,2026-07-02 15:22:46
13,66,5,22.150000,0.000000,0.407178,2026-07-02 15:22:51
19,76,5,32.350000,0.000000,0.410761,2026-07-02 15:22:55
25,87,5,42.550000,0.000000,0.410840,2026-07-02 15:23:00
1,45,3,1.750000,-1.187154,0.261604,2026-07-02 15:23:12
7,56,3,11.950000,-1.185972,0.261604,2026-07-02 15:23:16
13,66,3,22.150000,-1.189663,0.261604,2026-07-02 15:23:21
19,76,3,32.350000,-1.202729,0.261604,2026-07-02 15:23:26
25,87,3,42.550000,-1.182208,0.261604,2026-07-02 15:23:30
1,45,1,1.277708,-0.950000,0.261604,2026-07-02 15:23:43
1,45,1,1.273574,-0.350000,0.261604,2026-07-02 15:23:45
1,45,1,1.276084,0.250000,0.261604,2026-07-02 15:23:48
1,45,1,1.278741,1.100000,0.261604,2026-07-02 15:23:50
1,45,1,1.284942,2.750000,0.261604,2026-07-02 15:23:54
1,45,1,1.289002,4.250000,0.261604,2026-07-02 15:23:57
1,45,2,2.121456,-0.950000,0.261604,2026-07-02 15:24:02
1,45,2,2.126476,-0.350000,0.261604,2026-07-02 15:24:05
1,45,2,2.133636,0.250000,0.261604,2026-07-02 15:24:07
1,45,2,1.764394,1.100000,0.261604,2026-07-02 15:24:11
1,45,2,1.763065,2.750000,0.261604,2026-07-02 15:24:15
1,45,2,1.764394,4.250000,0.261604,2026-07-02 15:24:19
2,47,1,2.979455,-0.950000,0.261604,2026-07-02 15:24:23
2,47,1,2.976428,-0.350000,0.261604,2026-07-02 15:24:25
2,47,1,2.977757,0.250000,0.261604,2026-07-02 15:24:28
2,47,1,3.108195,1.100000,0.261604,2026-07-02 15:24:31
2,47,1,3.103470,2.750000,0.261604,2026-07-02 15:24:34
2,47,1,3.097417,4.250000,0.261604,2026-07-02 15:24:37
2,47,2,3.814344,-0.950000,0.261604,2026-07-02 15:24:43
2,47,2,3.816707,-0.350000,0.261604,2026-07-02 15:24:45
2,47,2,3.818478,0.250000,0.261604,2026-07-02 15:24:48
2,47,2,3.576205,1.100000,0.261604,2026-07-02 15:24:51
2,47,2,3.571185,2.750000,0.261604,2026-07-02 15:24:55
2,47,2,3.570521,4.250000,0.261604,2026-07-02 15:24:59
3,49,1,4.678544,-0.950000,0.261604,2026-07-02 15:25:03
3,49,1,4.680389,-0.350000,0.261604,2026-07-02 15:25:05
3,49,1,4.677658,0.250000,0.261604,2026-07-02 15:25:08
3,49,1,4.942446,1.100000,0.261604,2026-07-02 15:25:11
3,49,1,4.948056,2.750000,0.261604,2026-07-02 15:25:15
3,49,1,4.953298,4.250000,0.261604,2026-07-02 15:25:18
3,49,2,5.532996,-0.950000,0.261604,2026-07-02 15:25:23
3,49,2,5.532405,-0.350000,0.261604,2026-07-02 15:25:26
3,49,2,5.535358,0.250000,0.261604,2026-07-02 15:25:29
3,49,2,5.415476,1.100000,0.261604,2026-07-02 15:25:32
3,49,2,5.416362,2.750000,0.261604,2026-07-02 15:25:35
3,49,2,5.424851,4.250000,0.261604,2026-07-02 15:25:39
4,51,1,6.375344,-0.950000,0.261604,2026-07-02 15:25:43
4,51,1,6.376009,-0.350000,0.261604,2026-07-02 15:25:45
4,51,1,6.377854,0.250000,0.261604,2026-07-02 15:25:48
4,51,1,6.782751,1.100000,0.261604,2026-07-02 15:25:51
4,51,1,6.777141,2.750000,0.261604,2026-07-02 15:25:55
4,51,1,6.778765,4.250000,0.261604,2026-07-02 15:25:59
4,51,2,7.235702,-0.950000,0.261604,2026-07-02 15:26:04
