EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,45,5,1.750000,0.000000,0.395328,2026-09-13 19:58:41
3,49,5,5.150000,0.000000,0.425052,2026-09-13 19:58:44
5,52,5,8.550000,0.000000,0.427651,2026-09-13 19:58:47
7,56,5,11.950000,0.000000,0.429423,2026-09-13 19:58:50
9,59,5,15.350000,0.000000,0.416982,2026-09-13 19:58:53
11,63,5,18.750000,0.000000,0.421509,2026-09-13 19:58:57
13,66,5,22.150000,0.000000,0.425052,2026-09-13 19:59:00
15,69,5,25.550000,0.000000,0.428793,2026-09-13 19:59:03
17,73,5,28.950000,0.000000,0.422493,2026-09-13 19:59:06
19,76,5,32.350000,0.000000,0.423832,2026-09-13 19:59:09
21,80,5,35.750000,0.000000,0.427454,2026-09-13 19:59:12
23,83,5,39.150000,0.000000,0.420801,2026-09-13 19:59:15
25,87,5,42.550000,0.000000,0.417533,2026-09-13 19:59:18
1,45,3,1.750000,-1.184092,0.271685,2026-09-13 19:59:30
3,49,3,5.150000,-1.191991,0.271685,2026-09-13 19:59:33
5,52,3,8.550000,-1.193467,0.271685,2026-09-13 19:59:36
7,56,3,11.950000,-1.195682,0.271685,2026-09-13 19:59:39
9,59,3,15.350000,-1.206976,0.271685,2026-09-13 19:59:43
11,63,3,18.750000,-1.200701,0.271685,2026-09-13 19:59:46
13,66,3,22.150000,-1.202916,0.271685,2026-09-13 19:59:49
15,69,3,25.550000,-1.199889,0.271685,2026-09-13 19:59:52
17,73,3,28.950000,-1.196272,0.271685,2026-09-13 19:59:55
19,76,3,32.350000,-1.197675,0.271685,2026-09-13 19:59:58
21,80,3,35.750000,-1.192064,0.271685,2026-09-13 20:00:01
23,83,3,39.150000,-1.189702,0.271685,2026-09-13 20:00:04
25,87,3,42.550000,-1.188078,0.271685,2026-09-13 20:00:07
1,45,1,1.272134,-0.950000,0.271685,2026-09-13 20:00:20
1,45,1,1.297159,-0.350000,0.271685,2026-09-13 20:00:22
1,45,1,1.294723,0.250000,0.271685,2026-09-13 20:00:25
1,45,1,1.298119,1.100000,0.271685,2026-09-13 20:00:27
1,45,1,1.308453,2.750000,0.271685,2026-09-13 20:00:30
1,45,1,1.303286,4.250000,0.271685,2026-09-13 20:00:34
1,45,1,1.273537,-1.050000,0.271685,2026-09-13 20:00:39
1,45,1,1.290146,-0.650000,0.271685,2026-09-13 20:00:41
1,45,1,1.294575,-0.050000,0.271685,2026-09-13 20:00:44
1,45,1,1.300038,0.350000,0.271685,2026-09-13 20:00:46
1,45,2,2.137056,-0.950000,0.271685,2026-09-13 20:00:50
1,45,2,2.145988,-0.350000,0.271685,2026-09-13 20:00:53
1,45,2,2.151303,0.250000,0.271685,2026-09-13 20:00:55
1,45,2,1.780363,1.100000,0.271685,2026-09-13 20:00:59
1,45,2,1.771505,2.750000,0.271685,2026-09-13 20:01:03
1,45,2,1.778961,4.250000,0.271685,2026-09-13 20:01:06
2,47,1,3.023930,-0.950000,0.271685,2026-09-13 20:01:10
2,47,1,3.020461,-0.350000,0.271685,2026-09-13 20:01:13
2,47,1,3.000456,0.250000,0.271685,2026-09-13 20:01:15
2,47,1,3.132518,1.100000,0.271685,2026-09-13 20:01:18
2,47,1,3.129713,2.750000,0.271685,2026-09-13 20:01:21
2,47,1,3.128310,4.250000,0.271685,2026-09-13 20:01:25
2,47,2,3.838360,-0.950000,0.271685,2026-09-13 20:01:30
2,47,2,3.808389,-0.350000,0.271685,2026-09-13 20:01:32
2,47,2,3.840205,0.250000,0.271685,2026-09-13 20:01:35
2,47,2,3.603173,1.100000,0.271685,2026-09-13 20:01:38
2,47,2,3.591583,2.750000,0.271685,2026-09-13 20:01:42
2,47,2,3.602139,4.250000,0.271685,2026-09-13 20:01:45
2,47,2,3.836367,-1.050000,0.271685,2026-09-13 20:01:51
2,47,2,3.839689,-0.650000,0.271685,2026-09-13 20:01:53
2,47,2,3.832307,-0.050000,0.271685,2026-09-13 20:01:56
2,47,2,3.840353,0.350000,0.271685,2026-09-13 20:01:58
2,47,2,3.601844,0.950000,0.271685,2026-09-13 20:02:01
2,47,2,3.599703,1.950000,0.271685,2026-09-13 20:02:05
2,47,2,3.598744,3.550000,0.271685,2026-09-13 20:02:08
2,47,2,3.603468,4.350000,0.271685,2026-09-13 20:02:11
3,49,1,4.811454,-0.950000,0.271685,2026-09-13 20:02:15
3,49,1,4.695411,-0.350000,0.271685,2026-09-13 20:02:18
3,49,1,4.702498,0.250000,0.271685,2026-09-13 20:02:20
3,49,1,4.967581,1.100000,0.271685,2026-09-13 20:02:23
3,49,1,4.971125,2.750000,0.271685,2026-09-13 20:02:27
3,49,1,4.975628,4.250000,0.271685,2026-09-13 20:02:30
3,49,1,4.817065,-1.050000,0.271685,2026-09-13 20:02:36
3,49,1,4.796248,-0.650000,0.271685,2026-09-13 20:02:39
3,49,1,4.695337,-0.050000,0.271685,2026-09-13 20:02:41
3,49,1,4.703014,0.350000,0.271685,2026-09-13 20:02:43
3,49,2,5.557011,-0.950000,0.271685,2026-09-13 20:02:48
3,49,2,5.556051,-0.350000,0.271685,2026-09-13 20:02:50
3,49,2,5.557675,0.250000,0.271685,2026-09-13 20:02:53
3,49,2,5.442149,1.100000,0.271685,2026-09-13 20:02:56
3,49,2,5.443256,2.750000,0.271685,2026-09-13 20:02:59
3,49,2,5.450195,4.250000,0.271685,2026-09-13 20:03:02
4,51,1,6.400849,-0.950000,0.271685,2026-09-13 20:03:06
4,51,1,6.400406,-0.350000,0.271685,2026-09-13 20:03:09
4,51,1,6.398560,0.250000,0.271685,2026-09-13 20:03:11
4,51,1,6.800873,1.100000,0.271685,2026-09-13 20:03:14
4,51,1,6.789800,2.750000,0.271685,2026-09-13 20:03:18
4,51,1,6.787143,4.250000,0.271685,2026-09-13 20:03:22
4,51,2,7.264589,-0.950000,0.271685,2026-09-13 20:03:27
4,51,2,7.262596,-0.350000,0.271685,2026-09-13 20:03:30
4,51,2,7.262818,0.250000,0.271685,2026-09-13 20:03:32
4,51,2,7.262153,1.100000,0.271685,2026-09-13 20:03:35
4,51,2,7.260972,2.750000,0.271685,2026-09-13 20:03:38
4,51,2,7.259053,4.250000,0.271685,2026-09-13 20:03:41
5,52,1,8.101193,-0.950000,0.271685,2026-09-13 20:03:45
5,52,1,8.103038,-0.350000,0.271685,2026-09-13 20:03:47
5,52,1,8.103629,0.250000,0.271685,2026-09-13 20:03:50
5,52,1,8.108353,1.100000,0.271685,2026-09-13 20:03:52
5,52,1,8.116473,2.750000,0.271685,2026-09-13 20:03:56
5,52,1,8.122010,4.250000,0.271685,2026-09-13 20:03:59
5,52,2,8.954008,-0.950000,0.271685,2026-09-13 20:04:04
5,52,2,8.955706,-0.350000,0.271685,2026-09-13 20:04:06
5,52,2,8.963531,0.250000,0.271685,2026-09-13 20:04:09
5,52,2,8.618280,1.100000,0.271685,2026-09-13 20:04:12
5,52,2,8.616213,2.750000,0.271685,2026-09-13 20:04:16
5,52,2,8.616434,4.250000,0.271685,2026-09-13 20:04:20
6,54,1,9.934854,-0.950000,0.271685,2026-09-13 20:04:24
6,54,1,9.825823,-0.350000,0.271685,2026-09-13 20:04:26
6,54,1,9.878973,0.250000,0.271685,2026-09-13 20:04:29
6,54,1,10.007639,1.100000,0.271685,2026-09-13 20:04:32
6,54,1,10.001364,2.750000,0.271685,2026-09-13 20:04:35
6,54,1,9.996419,4.250000,0.271685,2026-09-13 20:04:39
6,54,1,9.954047,-1.050000,0.271685,2026-09-13 20:04:44
