EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,1,5,1.750000,0.000000,0.371247,2026-08-09 12:29:13
3,4,5,5.150000,0.000000,0.367152,2026-08-09 12:29:16
5,8,5,8.550000,0.000000,0.373018,2026-08-09 12:29:19
7,11,5,11.950000,0.000000,0.371680,2026-08-09 12:29:22
9,15,5,15.350000,0.000000,0.369751,2026-08-09 12:29:25
11,18,5,18.750000,0.000000,0.373136,2026-08-09 12:29:28
13,21,5,22.150000,0.000000,0.372782,2026-08-09 12:29:31
15,25,5,25.550000,0.000000,0.370184,2026-08-09 12:29:34
17,28,5,28.950000,0.000000,0.371995,2026-08-09 12:29:37
19,32,5,32.350000,0.000000,0.371207,2026-08-09 12:29:40
21,35,5,35.750000,0.000000,0.373727,2026-08-09 12:29:43
23,39,5,39.150000,0.000000,0.365223,2026-08-09 12:29:46
25,42,5,42.550000,0.000000,0.368373,2026-08-09 12:29:49
1,1,3,1.750000,-1.180534,0.220729,2026-08-09 12:30:02
3,4,3,5.150000,-1.180165,0.220729,2026-08-09 12:30:05
5,8,3,8.550000,-1.186587,0.220729,2026-08-09 12:30:08
7,11,3,11.950000,-1.175366,0.220729,2026-08-09 12:30:11
9,15,3,15.350000,-1.176769,0.220729,2026-08-09 12:30:15
11,18,3,18.750000,-1.176031,0.220729,2026-08-09 12:30:18
13,21,3,22.150000,-1.169092,0.220729,2026-08-09 12:30:21
15,25,3,25.550000,-1.170790,0.220729,2026-08-09 12:30:24
17,28,3,28.950000,-1.173890,0.220729,2026-08-09 12:30:28
19,32,3,32.350000,-1.174407,0.220729,2026-08-09 12:30:31
21,35,3,35.750000,-1.171749,0.220729,2026-08-09 12:30:34
23,39,3,39.150000,-1.171602,0.220729,2026-08-09 12:30:37
25,42,3,42.550000,-1.172487,0.220729,2026-08-09 12:30:41
1,1,1,1.296129,-0.950000,0.220729,2026-08-09 12:30:53
1,1,1,1.273098,-0.350000,0.220729,2026-08-09 12:30:56
1,1,1,1.273541,0.250000,0.220729,2026-08-09 12:30:58
1,1,1,1.276494,1.100000,0.220729,2026-08-09 12:31:01
1,1,1,1.279815,2.750000,0.220729,2026-08-09 12:31:04
1,1,1,1.284761,4.250000,0.220729,2026-08-09 12:31:07
1,1,1,1.299968,-1.050000,0.220729,2026-08-09 12:31:13
1,1,1,1.281587,-0.650000,0.220729,2026-08-09 12:31:15
1,1,1,1.273024,-0.050000,0.220729,2026-08-09 12:31:18
1,1,1,1.274205,0.350000,0.220729,2026-08-09 12:31:20
1,1,2,2.170869,-0.950000,0.220729,2026-08-09 12:31:25
1,1,2,2.173969,-0.350000,0.220729,2026-08-09 12:31:27
1,1,2,2.177808,0.250000,0.220729,2026-08-09 12:31:30
1,1,2,2.040505,1.100000,0.220729,2026-08-09 12:31:33
1,1,2,2.028841,2.750000,0.220729,2026-08-09 12:31:36
1,1,2,2.040357,4.250000,0.220729,2026-08-09 12:31:40
1,1,2,2.041243,0.950000,0.220729,2026-08-09 12:31:44
1,1,2,2.034156,1.950000,0.220729,2026-08-09 12:31:47
1,1,2,2.038364,3.550000,0.220729,2026-08-09 12:31:51
1,1,2,2.040800,4.350000,0.220729,2026-08-09 12:31:54
2,3,1,3.017290,-0.950000,0.220729,2026-08-09 12:31:58
2,3,1,2.975878,-0.350000,0.220729,2026-08-09 12:32:00
2,3,1,2.975804,0.250000,0.220729,2026-08-09 12:32:03
2,3,1,3.357374,1.100000,0.220729,2026-08-09 12:32:06
2,3,1,3.341651,2.750000,0.220729,2026-08-09 12:32:10
2,3,1,3.330873,4.250000,0.220729,2026-08-09 12:32:14
2,3,1,3.020465,-1.050000,0.220729,2026-08-09 12:32:19
2,3,1,3.003117,-0.650000,0.220729,2026-08-09 12:32:22
2,3,1,2.977576,-0.050000,0.220729,2026-08-09 12:32:24
2,3,1,2.976099,0.350000,0.220729,2026-08-09 12:32:27
2,3,2,3.816366,-0.950000,0.220729,2026-08-09 12:32:31
2,3,2,3.818063,-0.350000,0.220729,2026-08-09 12:32:34
2,3,2,3.814299,0.250000,0.220729,2026-08-09 12:32:37
2,3,2,3.808688,1.100000,0.220729,2026-08-09 12:32:40
2,3,2,3.804776,2.750000,0.220729,2026-08-09 12:32:43
2,3,2,3.797320,4.250000,0.220729,2026-08-09 12:32:46
3,4,1,4.748491,-0.950000,0.220729,2026-08-09 12:32:50
3,4,1,4.675189,-0.350000,0.220729,2026-08-09 12:32:53
3,4,1,4.680282,0.250000,0.220729,2026-08-09 12:32:55
3,4,1,4.683456,1.100000,0.220729,2026-08-09 12:32:58
3,4,1,4.687885,2.750000,0.220729,2026-08-09 12:33:01
3,4,1,4.694972,4.250000,0.220729,2026-08-09 12:33:05
3,4,1,4.754027,-1.050000,0.220729,2026-08-09 12:33:10
3,4,1,4.732989,-0.650000,0.220729,2026-08-09 12:33:13
3,4,1,4.679692,-0.050000,0.220729,2026-08-09 12:33:15
3,4,1,4.678141,0.350000,0.220729,2026-08-09 12:33:18
3,4,2,5.499362,-0.950000,0.220729,2026-08-09 12:33:22
3,4,2,5.511838,-0.350000,0.220729,2026-08-09 12:33:25
3,4,2,5.515381,0.250000,0.220729,2026-08-09 12:33:28
3,4,2,5.182605,1.100000,0.220729,2026-08-09 12:33:31
3,4,2,5.180686,2.750000,0.220729,2026-08-09 12:33:35
3,4,2,5.183196,4.250000,0.220729,2026-08-09 12:33:39
4,6,1,6.387418,-0.950000,0.220729,2026-08-09 12:33:43
4,6,1,6.383210,-0.350000,0.220729,2026-08-09 12:33:45
4,6,1,6.387122,0.250000,0.220729,2026-08-09 12:33:48
4,6,1,6.584145,1.100000,0.220729,2026-08-09 12:33:51
4,6,1,6.586433,2.750000,0.220729,2026-08-09 12:33:55
4,6,1,6.606290,4.250000,0.220729,2026-08-09 12:33:58
4,6,2,7.233072,-0.950000,0.220729,2026-08-09 12:34:03
4,6,2,7.239716,-0.350000,0.220729,2026-08-09 12:34:06
4,6,2,7.241488,0.250000,0.220729,2026-08-09 12:34:09
4,6,2,7.077831,1.100000,0.220729,2026-08-09 12:34:12
4,6,2,7.081744,2.750000,0.220729,2026-08-09 12:34:15
4,6,2,7.090381,4.250000,0.220729,2026-08-09 12:34:19
5,8,1,8.160842,-0.950000,0.220729,2026-08-09 12:34:23
5,8,1,8.080232,-0.350000,0.220729,2026-08-09 12:34:25
5,8,1,8.079051,0.250000,0.220729,2026-08-09 12:34:28
5,8,1,8.461433,1.100000,0.220729,2026-08-09 12:34:31
5,8,1,8.453756,2.750000,0.220729,2026-08-09 12:34:35
5,8,1,8.465050,4.250000,0.220729,2026-08-09 12:34:39
5,8,1,8.166452,-1.050000,0.220729,2026-08-09 12:34:45
5,8,1,8.132274,-0.650000,0.220729,2026-08-09 12:34:47
5,8,1,8.081708,-0.050000,0.220729,2026-08-09 12:34:50
