EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,45,5,1.750000,0.000000,0.414423,2026-08-09 10:49:02
3,49,5,5.150000,0.000000,0.412257,2026-08-09 10:49:05
5,52,5,8.550000,0.000000,0.410604,2026-08-09 10:49:08
7,56,5,11.950000,0.000000,0.409777,2026-08-09 10:49:11
9,59,5,15.350000,0.000000,0.410171,2026-08-09 10:49:14
11,63,5,18.750000,0.000000,0.409738,2026-08-09 10:49:17
13,66,5,22.150000,0.000000,0.410249,2026-08-09 10:49:21
15,69,5,25.550000,0.000000,0.409147,2026-08-09 10:49:24
17,73,5,28.950000,0.000000,0.410052,2026-08-09 10:49:27
19,76,5,32.350000,0.000000,0.411037,2026-08-09 10:49:30
21,80,5,35.750000,0.000000,0.409895,2026-08-09 10:49:33
23,83,5,39.150000,0.000000,0.410013,2026-08-09 10:49:36
25,87,5,42.550000,0.000000,0.410171,2026-08-09 10:49:39
1,45,3,1.750000,-1.180740,0.260579,2026-08-09 10:49:51
3,49,3,5.150000,-1.180814,0.260579,2026-08-09 10:49:54
5,52,3,8.550000,-1.180962,0.260579,2026-08-09 10:49:58
7,56,3,11.950000,-1.181774,0.260579,2026-08-09 10:50:01
9,59,3,15.350000,-1.179854,0.260579,2026-08-09 10:50:04
11,63,3,18.750000,-1.178747,0.260579,2026-08-09 10:50:07
13,66,3,22.150000,-1.180371,0.260579,2026-08-09 10:50:11
15,69,3,25.550000,-1.179707,0.260579,2026-08-09 10:50:14
17,73,3,28.950000,-1.179633,0.260579,2026-08-09 10:50:17
19,76,3,32.350000,-1.181035,0.260579,2026-08-09 10:50:20
21,80,3,35.750000,-1.180593,0.260579,2026-08-09 10:50:24
23,83,3,39.150000,-1.177344,0.260579,2026-08-09 10:50:27
25,87,3,42.550000,-1.180593,0.260579,2026-08-09 10:50:30
1,45,1,1.284511,-0.950000,0.260579,2026-08-09 10:50:43
1,45,1,1.286135,-0.350000,0.260579,2026-08-09 10:50:45
1,45,1,1.288276,0.250000,0.260579,2026-08-09 10:50:48
1,45,1,1.294993,1.100000,0.260579,2026-08-09 10:50:50
1,45,1,1.299791,2.750000,0.260579,2026-08-09 10:50:54
1,45,1,1.301268,4.250000,0.260579,2026-08-09 10:50:57
