EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,1,5,1.750000,0.000000,0.414895,2026-07-07 15:03:47
3,4,5,5.150000,0.000000,0.413635,2026-07-07 15:03:50
5,8,5,8.550000,0.000000,0.415367,2026-07-07 15:03:53
7,11,5,11.950000,0.000000,0.410013,2026-07-07 15:03:56
9,15,5,15.350000,0.000000,0.415486,2026-07-07 15:04:00
11,18,5,18.750000,0.000000,0.411864,2026-07-07 15:04:03
13,21,5,22.150000,0.000000,0.414777,2026-07-07 15:04:06
15,25,5,25.550000,0.000000,0.411352,2026-07-07 15:04:09
17,28,5,28.950000,0.000000,0.413556,2026-07-07 15:04:12
19,32,5,32.350000,0.000000,0.413911,2026-07-07 15:04:15
21,35,5,35.750000,0.000000,0.413202,2026-07-07 15:04:18
23,39,5,39.150000,0.000000,0.408596,2026-07-07 15:04:21
25,42,5,42.550000,0.000000,0.414383,2026-07-07 15:04:24
1,1,3,1.750000,-1.187524,0.263157,2026-07-07 15:04:36
3,4,3,5.150000,-1.187081,0.263157,2026-07-07 15:04:40
5,8,3,8.550000,-1.186712,0.263157,2026-07-07 15:04:43
7,11,3,11.950000,-1.186269,0.263157,2026-07-07 15:04:46
9,15,3,15.350000,-1.185162,0.263157,2026-07-07 15:04:49
11,18,3,18.750000,-1.185679,0.263157,2026-07-07 15:04:53
13,21,3,22.150000,-1.185088,0.263157,2026-07-07 15:04:56
15,25,3,25.550000,-1.184719,0.263157,2026-07-07 15:04:59
17,28,3,28.950000,-1.184055,0.263157,2026-07-07 15:05:02
19,32,3,32.350000,-1.184276,0.263157,2026-07-07 15:05:06
21,35,3,35.750000,-1.183759,0.263157,2026-07-07 15:05:09
23,39,3,39.150000,-1.184055,0.263157,2026-07-07 15:05:12
25,42,3,42.550000,-1.183464,0.263157,2026-07-07 15:05:15
1,1,1,1.276636,-0.950000,0.263157,2026-07-07 15:05:28
1,1,1,1.273388,-0.350000,0.263157,2026-07-07 15:05:30
1,1,1,1.272650,0.250000,0.263157,2026-07-07 15:05:33
1,1,1,1.273167,1.100000,0.263157,2026-07-07 15:05:36
1,1,1,1.270952,2.750000,0.263157,2026-07-07 15:05:39
1,1,1,1.272355,4.250000,0.263157,2026-07-07 15:05:42
1,1,2,2.174346,-0.950000,0.263157,2026-07-07 15:05:47
1,1,2,2.172058,-0.350000,0.263157,2026-07-07 15:05:49
1,1,2,2.172796,0.250000,0.263157,2026-07-07 15:05:52
1,1,2,2.035419,1.100000,0.263157,2026-07-07 15:05:55
1,1,2,2.027889,2.750000,0.263157,2026-07-07 15:05:59
1,1,2,2.025158,4.250000,0.263157,2026-07-07 15:06:02
2,3,1,2.978309,-0.950000,0.263157,2026-07-07 15:06:06
2,3,1,2.976980,-0.350000,0.263157,2026-07-07 15:06:09
2,3,1,2.977571,0.250000,0.263157,2026-07-07 15:06:11
2,3,1,3.357221,1.100000,0.263157,2026-07-07 15:06:14
2,3,1,3.344967,2.750000,0.263157,2026-07-07 15:06:18
2,3,1,3.336700,4.250000,0.263157,2026-07-07 15:06:22
2,3,2,3.818809,-0.950000,0.263157,2026-07-07 15:06:27
2,3,2,3.816004,-0.350000,0.263157,2026-07-07 15:06:30
2,3,2,3.813347,0.250000,0.263157,2026-07-07 15:06:33
2,3,2,3.807884,1.100000,0.263157,2026-07-07 15:06:36
2,3,2,3.806408,2.750000,0.263157,2026-07-07 15:06:39
2,3,2,3.802569,4.250000,0.263157,2026-07-07 15:06:42
