EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,1,5,1.750000,0.000000,0.351470,2026-08-23 13:29:31
3,4,5,5.150000,0.000000,0.354462,2026-08-23 13:29:34
5,8,5,8.550000,0.000000,0.360446,2026-08-23 13:29:37
7,11,5,11.950000,0.000000,0.359974,2026-08-23 13:29:40
9,15,5,15.350000,0.000000,0.356352,2026-08-23 13:29:43
11,18,5,18.750000,0.000000,0.358990,2026-08-23 13:29:46
13,21,5,22.150000,0.000000,0.355249,2026-08-23 13:29:49
15,25,5,25.550000,0.000000,0.355564,2026-08-23 13:29:52
17,28,5,28.950000,0.000000,0.361430,2026-08-23 13:29:56
19,32,5,32.350000,0.000000,0.360643,2026-08-23 13:29:59
21,35,5,35.750000,0.000000,0.362336,2026-08-23 13:30:02
23,39,5,39.150000,0.000000,0.357808,2026-08-23 13:30:05
25,42,5,42.550000,0.000000,0.359383,2026-08-23 13:30:08
1,1,3,1.750000,-1.187555,0.208008,2026-08-23 13:30:20
3,4,3,5.150000,-1.186596,0.208008,2026-08-23 13:30:23
5,8,3,8.550000,-1.184233,0.208008,2026-08-23 13:30:26
7,11,3,11.950000,-1.199366,0.208008,2026-08-23 13:30:29
9,15,3,15.350000,-1.185341,0.208008,2026-08-23 13:30:32
11,18,3,18.750000,-1.186300,0.208008,2026-08-23 13:30:36
13,21,3,22.150000,-1.188810,0.208008,2026-08-23 13:30:39
15,25,3,25.550000,-1.186669,0.208008,2026-08-23 13:30:42
17,28,3,28.950000,-1.188589,0.208008,2026-08-23 13:30:45
19,32,3,32.350000,-1.188146,0.208008,2026-08-23 13:30:48
21,35,3,35.750000,-1.189770,0.208008,2026-08-23 13:30:51
23,39,3,39.150000,-1.189548,0.208008,2026-08-23 13:30:54
25,42,3,42.550000,-1.199957,0.208008,2026-08-23 13:30:57
1,1,1,1.310034,-0.950000,0.208008,2026-08-23 13:31:10
1,1,1,1.272387,-0.350000,0.208008,2026-08-23 13:31:12
1,1,1,1.271353,0.250000,0.208008,2026-08-23 13:31:15
1,1,1,1.271206,1.100000,0.208008,2026-08-23 13:31:17
1,1,1,1.272239,2.750000,0.208008,2026-08-23 13:31:20
1,1,1,1.266260,4.250000,0.208008,2026-08-23 13:31:23
1,1,1,1.314168,-1.050000,0.208008,2026-08-23 13:31:29
1,1,1,1.296895,-0.650000,0.208008,2026-08-23 13:31:31
1,1,1,1.271722,-0.050000,0.208008,2026-08-23 13:31:33
1,1,1,1.271649,0.350000,0.208008,2026-08-23 13:31:36
1,1,2,2.177072,-0.950000,0.208008,2026-08-23 13:31:40
1,1,2,2.176113,-0.350000,0.208008,2026-08-23 13:31:43
1,1,2,2.178770,0.250000,0.208008,2026-08-23 13:31:45
1,1,2,2.037776,1.100000,0.208008,2026-08-23 13:31:48
1,1,2,2.020576,2.750000,0.208008,2026-08-23 13:31:51
1,1,2,2.021019,4.250000,0.208008,2026-08-23 13:31:55
2,3,1,3.025511,-0.950000,0.208008,2026-08-23 13:31:59
2,3,1,2.974133,-0.350000,0.208008,2026-08-23 13:32:01
2,3,1,2.973100,0.250000,0.208008,2026-08-23 13:32:03
2,3,1,3.352898,1.100000,0.208008,2026-08-23 13:32:07
2,3,1,3.335551,2.750000,0.208008,2026-08-23 13:32:10
2,3,1,3.321673,4.250000,0.208008,2026-08-23 13:32:14
2,3,1,3.032081,-1.050000,0.208008,2026-08-23 13:32:19
2,3,1,3.012667,-0.650000,0.208008,2026-08-23 13:32:22
2,3,1,2.974576,-0.050000,0.208008,2026-08-23 13:32:24
2,3,1,2.973764,0.350000,0.208008,2026-08-23 13:32:27
2,3,2,3.821904,-0.950000,0.208008,2026-08-23 13:32:31
2,3,2,3.819026,-0.350000,0.208008,2026-08-23 13:32:34
2,3,2,3.814375,0.250000,0.208008,2026-08-23 13:32:36
2,3,2,3.807362,1.100000,0.208008,2026-08-23 13:32:39
2,3,2,3.801014,2.750000,0.208008,2026-08-23 13:32:42
2,3,2,3.788686,4.250000,0.208008,2026-08-23 13:32:46
3,4,1,4.766972,-0.950000,0.208008,2026-08-23 13:32:49
3,4,1,4.674773,-0.350000,0.208008,2026-08-23 13:32:52
3,4,1,4.678685,0.250000,0.208008,2026-08-23 13:32:54
3,4,1,4.682524,1.100000,0.208008,2026-08-23 13:32:57
3,4,1,4.684443,2.750000,0.208008,2026-08-23 13:33:00
3,4,1,4.688355,4.250000,0.208008,2026-08-23 13:33:03
3,4,1,4.773395,-1.050000,0.208008,2026-08-23 13:33:09
3,4,1,4.750289,-0.650000,0.208008,2026-08-23 13:33:11
3,4,1,4.678390,-0.050000,0.208008,2026-08-23 13:33:14
3,4,1,4.678242,0.350000,0.208008,2026-08-23 13:33:16
3,4,2,5.508149,-0.950000,0.208008,2026-08-23 13:33:20
3,4,2,5.514276,-0.350000,0.208008,2026-08-23 13:33:23
3,4,2,5.516786,0.250000,0.208008,2026-08-23 13:33:26
3,4,2,5.183272,1.100000,0.208008,2026-08-23 13:33:29
3,4,2,5.180246,2.750000,0.208008,2026-08-23 13:33:33
3,4,2,5.179065,4.250000,0.208008,2026-08-23 13:33:37
4,6,1,6.387002,-0.950000,0.208008,2026-08-23 13:33:40
4,6,1,6.380506,-0.350000,0.208008,2026-08-23 13:33:43
4,6,1,6.378660,0.250000,0.208008,2026-08-23 13:33:45
4,6,1,6.572804,1.100000,0.208008,2026-08-23 13:33:48
4,6,1,6.566972,2.750000,0.208008,2026-08-23 13:33:52
4,6,1,6.579078,4.250000,0.208008,2026-08-23 13:33:55
4,6,2,7.233665,-0.950000,0.208008,2026-08-23 13:34:00
4,6,2,7.233444,-0.350000,0.208008,2026-08-23 13:34:03
4,6,2,7.236618,0.250000,0.208008,2026-08-23 13:34:05
4,6,2,7.069861,1.100000,0.208008,2026-08-23 13:34:08
4,6,2,7.064251,2.750000,0.208008,2026-08-23 13:34:12
4,6,2,7.066909,4.250000,0.208008,2026-08-23 13:34:15
5,8,1,8.186780,-0.950000,0.208008,2026-08-23 13:34:19
5,8,1,8.082547,-0.350000,0.208008,2026-08-23 13:34:22
5,8,1,8.078266,0.250000,0.208008,2026-08-23 13:34:24
5,8,1,8.456440,1.100000,0.208008,2026-08-23 13:34:27
5,8,1,8.441233,2.750000,0.208008,2026-08-23 13:34:31
5,8,1,8.447951,4.250000,0.208008,2026-08-23 13:34:35
5,8,1,8.190102,-1.050000,0.208008,2026-08-23 13:34:40
5,8,1,8.149132,-0.650000,0.208008,2026-08-23 13:34:43
5,8,1,8.083138,-0.050000,0.208008,2026-08-23 13:34:45
5,8,1,8.078266,0.350000,0.208008,2026-08-23 13:34:47
5,8,1,8.456588,0.950000,0.208008,2026-08-23 13:34:51
5,8,1,8.449353,1.950000,0.208008,2026-08-23 13:34:54
5,8,1,8.435623,3.550000,0.208008,2026-08-23 13:34:58
5,8,1,8.451642,4.350000,0.208008,2026-08-23 13:35:01
5,8,2,8.954457,-0.950000,0.208008,2026-08-23 13:35:06
5,8,2,8.949290,-0.350000,0.208008,2026-08-23 13:35:08
5,8,2,8.950914,0.250000,0.208008,2026-08-23 13:35:11
5,8,2,8.948847,1.100000,0.208008,2026-08-23 13:35:14
5,8,2,8.946485,2.750000,0.208008,2026-08-23 13:35:17
5,8,2,8.939694,4.250000,0.208008,2026-08-23 13:35:20
