EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,45,5,1.750000,0.000000,0.418215,2026-09-07 14:05:46
3,49,5,5.150000,0.000000,0.420420,2026-09-07 14:05:49
5,52,5,8.550000,0.000000,0.419672,2026-09-07 14:05:52
7,56,5,11.950000,0.000000,0.419278,2026-09-07 14:05:55
9,59,5,15.350000,0.000000,0.415774,2026-09-07 14:05:58
11,63,5,18.750000,0.000000,0.414160,2026-09-07 14:06:01
13,66,5,22.150000,0.000000,0.419514,2026-09-07 14:06:05
15,69,5,25.550000,0.000000,0.421680,2026-09-07 14:06:08
17,73,5,28.950000,0.000000,0.412546,2026-09-07 14:06:11
19,76,5,32.350000,0.000000,0.415774,2026-09-07 14:06:14
21,80,5,35.750000,0.000000,0.413136,2026-09-07 14:06:17
23,83,5,39.150000,0.000000,0.413530,2026-09-07 14:06:20
25,87,5,42.550000,0.000000,0.414160,2026-09-07 14:06:23
1,45,3,1.750000,-1.186416,0.266759,2026-09-07 14:06:35
3,49,3,5.150000,-1.187819,0.266759,2026-09-07 14:06:38
5,52,3,8.550000,-1.187007,0.266759,2026-09-07 14:06:41
7,56,3,11.950000,-1.186638,0.266759,2026-09-07 14:06:44
9,59,3,15.350000,-1.191879,0.266759,2026-09-07 14:06:48
11,63,3,18.750000,-1.187450,0.266759,2026-09-07 14:06:51
13,66,3,22.150000,-1.187745,0.266759,2026-09-07 14:06:54
15,69,3,25.550000,-1.188336,0.266759,2026-09-07 14:06:57
17,73,3,28.950000,-1.189591,0.266759,2026-09-07 14:07:00
19,76,3,32.350000,-1.189148,0.266759,2026-09-07 14:07:03
21,80,3,35.750000,-1.190181,0.266759,2026-09-07 14:07:06
23,83,3,39.150000,-1.188926,0.266759,2026-09-07 14:07:10
25,87,3,42.550000,-1.190034,0.266759,2026-09-07 14:07:13
1,45,1,1.277413,-0.950000,0.266759,2026-09-07 14:07:25
1,45,1,1.298969,-0.350000,0.266759,2026-09-07 14:07:28
1,45,1,1.296311,0.250000,0.266759,2026-09-07 14:07:30
1,45,1,1.297640,1.100000,0.266759,2026-09-07 14:07:33
1,45,1,1.308639,2.750000,0.266759,2026-09-07 14:07:36
1,45,1,1.302290,4.250000,0.266759,2026-09-07 14:07:39
1,45,1,1.275494,-1.050000,0.266759,2026-09-07 14:07:44
1,45,1,1.293358,-0.650000,0.266759,2026-09-07 14:07:47
1,45,1,1.296680,-0.050000,0.266759,2026-09-07 14:07:49
1,45,1,1.301036,0.350000,0.266759,2026-09-07 14:07:51
1,45,2,2.146149,-0.950000,0.266759,2026-09-07 14:07:56
1,45,2,2.151759,-0.350000,0.266759,2026-09-07 14:07:58
1,45,2,2.154048,0.250000,0.266759,2026-09-07 14:08:01
1,45,2,1.782665,1.100000,0.266759,2026-09-07 14:08:04
1,45,2,1.772330,2.750000,0.266759,2026-09-07 14:08:08
1,45,2,1.777867,4.250000,0.266759,2026-09-07 14:08:12
2,47,1,2.995548,-0.950000,0.266759,2026-09-07 14:08:16
