EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,1,5,1.750000,0.000000,0.351667,2026-08-23 13:01:06
3,4,5,5.150000,0.000000,0.353911,2026-08-23 13:01:10
5,8,5,8.550000,0.000000,0.359304,2026-08-23 13:01:13
7,11,5,11.950000,0.000000,0.358990,2026-08-23 13:01:16
9,15,5,15.350000,0.000000,0.355367,2026-08-23 13:01:19
11,18,5,18.750000,0.000000,0.357848,2026-08-23 13:01:22
13,21,5,22.150000,0.000000,0.354423,2026-08-23 13:01:25
15,25,5,25.550000,0.000000,0.354856,2026-08-23 13:01:28
17,28,5,28.950000,0.000000,0.360446,2026-08-23 13:01:31
19,32,5,32.350000,0.000000,0.359580,2026-08-23 13:01:34
21,35,5,35.750000,0.000000,0.361155,2026-08-23 13:01:37
23,39,5,39.150000,0.000000,0.356588,2026-08-23 13:01:40
25,42,5,42.550000,0.000000,0.358360,2026-08-23 13:01:43
1,1,3,1.750000,-1.188324,0.207115,2026-08-23 13:01:55
3,4,3,5.150000,-1.186257,0.207115,2026-08-23 13:01:59
5,8,3,8.550000,-1.184190,0.207115,2026-08-23 13:02:02
7,11,3,11.950000,-1.199619,0.207115,2026-08-23 13:02:05
9,15,3,15.350000,-1.185445,0.207115,2026-08-23 13:02:08
11,18,3,18.750000,-1.186553,0.207115,2026-08-23 13:02:11
13,21,3,22.150000,-1.188841,0.207115,2026-08-23 13:02:14
15,25,3,25.550000,-1.186700,0.207115,2026-08-23 13:02:17
17,28,3,28.950000,-1.188915,0.207115,2026-08-23 13:02:20
19,32,3,32.350000,-1.188177,0.207115,2026-08-23 13:02:24
21,35,3,35.750000,-1.189653,0.207115,2026-08-23 13:02:27
23,39,3,39.150000,-1.189505,0.207115,2026-08-23 13:02:30
25,42,3,42.550000,-1.200135,0.207115,2026-08-23 13:02:33
1,1,1,1.309614,-0.950000,0.207115,2026-08-23 13:02:45
1,1,1,1.272041,-0.350000,0.207115,2026-08-23 13:02:48
1,1,1,1.270860,0.250000,0.207115,2026-08-23 13:02:50
1,1,1,1.270638,1.100000,0.207115,2026-08-23 13:02:53
1,1,1,1.261780,2.750000,0.207115,2026-08-23 13:02:56
1,1,1,1.261485,4.250000,0.207115,2026-08-23 13:02:59
1,1,1,1.313896,-1.050000,0.207115,2026-08-23 13:03:04
1,1,1,1.296770,-0.650000,0.207115,2026-08-23 13:03:07
1,1,1,1.271302,-0.050000,0.207115,2026-08-23 13:03:09
1,1,1,1.271155,0.350000,0.207115,2026-08-23 13:03:11
1,1,2,2.176874,-0.950000,0.207115,2026-08-23 13:03:16
1,1,2,2.175545,-0.350000,0.207115,2026-08-23 13:03:18
1,1,2,2.178276,0.250000,0.207115,2026-08-23 13:03:21
1,1,2,2.037356,1.100000,0.207115,2026-08-23 13:03:23
1,1,2,2.020378,2.750000,0.207115,2026-08-23 13:03:27
1,1,2,2.020378,4.250000,0.207115,2026-08-23 13:03:30
2,3,1,3.025091,-0.950000,0.207115,2026-08-23 13:03:34
2,3,1,2.973566,-0.350000,0.207115,2026-08-23 13:03:36
2,3,1,2.972459,0.250000,0.207115,2026-08-23 13:03:39
2,3,1,3.352404,1.100000,0.207115,2026-08-23 13:03:42
2,3,1,3.334983,2.750000,0.207115,2026-08-23 13:03:46
2,3,1,3.321031,4.250000,0.207115,2026-08-23 13:03:49
2,3,1,3.031661,-1.050000,0.207115,2026-08-23 13:03:55
2,3,1,3.012395,-0.650000,0.207115,2026-08-23 13:03:57
2,3,1,2.974083,-0.050000,0.207115,2026-08-23 13:04:00
2,3,1,2.973197,0.350000,0.207115,2026-08-23 13:04:02
2,3,2,3.821337,-0.950000,0.207115,2026-08-23 13:04:06
2,3,2,3.818532,-0.350000,0.207115,2026-08-23 13:04:09
2,3,2,3.813881,0.250000,0.207115,2026-08-23 13:04:12
2,3,2,3.807016,1.100000,0.207115,2026-08-23 13:04:14
2,3,2,3.800741,2.750000,0.207115,2026-08-23 13:04:18
2,3,2,3.788118,4.250000,0.207115,2026-08-23 13:04:21
3,4,1,4.766553,-0.950000,0.207115,2026-08-23 13:04:25
3,4,1,4.674205,-0.350000,0.207115,2026-08-23 13:04:27
3,4,1,4.678191,0.250000,0.207115,2026-08-23 13:04:30
3,4,1,4.681882,1.100000,0.207115,2026-08-23 13:04:32
3,4,1,4.682916,2.750000,0.207115,2026-08-23 13:04:35
3,4,1,4.688009,4.250000,0.207115,2026-08-23 13:04:38
3,4,1,4.772753,-1.050000,0.207115,2026-08-23 13:04:44
3,4,1,4.750017,-0.650000,0.207115,2026-08-23 13:04:46
3,4,1,4.677822,-0.050000,0.207115,2026-08-23 13:04:49
3,4,1,4.677527,0.350000,0.207115,2026-08-23 13:04:51
3,4,2,5.507877,-0.950000,0.207115,2026-08-23 13:04:55
3,4,2,5.513930,-0.350000,0.207115,2026-08-23 13:04:58
3,4,2,5.516366,0.250000,0.207115,2026-08-23 13:05:01
3,4,2,5.182926,1.100000,0.207115,2026-08-23 13:05:04
3,4,2,5.179900,2.750000,0.207115,2026-08-23 13:05:08
3,4,2,5.178866,4.250000,0.207115,2026-08-23 13:05:12
4,6,1,6.386286,-0.950000,0.207115,2026-08-23 13:05:15
4,6,1,6.379569,-0.350000,0.207115,2026-08-23 13:05:18
4,6,1,6.377871,0.250000,0.207115,2026-08-23 13:05:20
4,6,1,6.572384,1.100000,0.207115,2026-08-23 13:05:23
4,6,1,6.566331,2.750000,0.207115,2026-08-23 13:05:27
4,6,1,6.578511,4.250000,0.207115,2026-08-23 13:05:30
4,6,2,7.233319,-0.950000,0.207115,2026-08-23 13:05:35
4,6,2,7.233098,-0.350000,0.207115,2026-08-23 13:05:38
4,6,2,7.236051,0.250000,0.207115,2026-08-23 13:05:40
4,6,2,7.069294,1.100000,0.207115,2026-08-23 13:05:43
4,6,2,7.063831,2.750000,0.207115,2026-08-23 13:05:47
4,6,2,7.066415,4.250000,0.207115,2026-08-23 13:05:50
5,8,1,8.186655,-0.950000,0.207115,2026-08-23 13:05:54
5,8,1,8.082054,-0.350000,0.207115,2026-08-23 13:05:57
5,8,1,8.077846,0.250000,0.207115,2026-08-23 13:05:59
5,8,1,8.455873,1.100000,0.207115,2026-08-23 13:06:02
5,8,1,8.440813,2.750000,0.207115,2026-08-23 13:06:06
5,8,1,8.447383,4.250000,0.207115,2026-08-23 13:06:10
5,8,1,8.189534,-1.050000,0.207115,2026-08-23 13:06:15
5,8,1,8.148491,-0.650000,0.207115,2026-08-23 13:06:18
5,8,1,8.082718,-0.050000,0.207115,2026-08-23 13:06:20
5,8,1,8.077772,0.350000,0.207115,2026-08-23 13:06:22
5,8,1,8.456020,0.950000,0.207115,2026-08-23 13:06:26
5,8,1,8.448934,1.950000,0.207115,2026-08-23 13:06:29
5,8,1,8.435203,3.550000,0.207115,2026-08-23 13:06:33
5,8,1,8.451148,4.350000,0.207115,2026-08-23 13:06:36
5,8,2,8.954111,-0.950000,0.207115,2026-08-23 13:06:41
5,8,2,8.948722,-0.350000,0.207115,2026-08-23 13:06:43
5,8,2,8.950420,0.250000,0.207115,2026-08-23 13:06:46
5,8,2,8.948870,1.100000,0.207115,2026-08-23 13:06:49
5,8,2,8.945991,2.750000,0.207115,2026-08-23 13:06:52
5,8,2,8.939200,4.250000,0.207115,2026-08-23 13:06:55
6,9,1,9.821891,-0.950000,0.207115,2026-08-23 13:06:59
6,9,1,9.776123,-0.350000,0.207115,2026-08-23 13:07:01
6,9,1,9.775311,0.250000,0.207115,2026-08-23 13:07:04
6,9,1,9.776714,1.100000,0.207115,2026-08-23 13:07:06
6,9,1,9.776640,2.750000,0.207115,2026-08-23 13:07:09
6,9,1,9.776566,4.250000,0.207115,2026-08-23 13:07:12
6,9,1,9.818200,-1.050000,0.207115,2026-08-23 13:07:18
6,9,1,9.833554,-0.650000,0.207115,2026-08-23 13:07:20
6,9,1,9.774868,-0.050000,0.207115,2026-08-23 13:07:23
6,9,1,9.774278,0.350000,0.207115,2026-08-23 13:07:25
6,9,2,10.629062,-0.950000,0.207115,2026-08-23 13:07:29
6,9,2,10.634450,-0.350000,0.207115,2026-08-23 13:07:32
6,9,2,10.639470,0.250000,0.207115,2026-08-23 13:07:34
6,9,2,10.254578,1.100000,0.207115,2026-08-23 13:07:38
6,9,2,10.257384,2.750000,0.207115,2026-08-23 13:07:42
6,9,2,10.254874,4.250000,0.207115,2026-08-23 13:07:46
7,11,1,11.514558,-0.950000,0.207115,2026-08-23 13:07:49
7,11,1,11.480380,-0.350000,0.207115,2026-08-23 13:07:52
7,11,1,11.480823,0.250000,0.207115,2026-08-23 13:07:54
7,11,1,11.615321,1.100000,0.207115,2026-08-23 13:07:57
