EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,45,5,1.750000,0.000000,0.421785,2026-06-23 10:28:22
7,56,5,11.950000,0.000000,0.418635,2026-06-23 10:28:26
13,66,5,22.150000,0.000000,0.422848,2026-06-23 10:28:30
19,76,5,32.350000,0.000000,0.416706,2026-06-23 10:28:35
25,87,5,42.550000,0.000000,0.420919,2026-06-23 10:28:39
1,45,3,1.750000,-1.186223,0.270178,2026-06-23 10:28:51
7,56,3,11.950000,-1.184820,0.270178,2026-06-23 10:28:56
13,66,3,22.150000,-1.186961,0.270178,2026-06-23 10:29:01
19,76,3,32.350000,-1.191538,0.270178,2026-06-23 10:29:05
25,87,3,42.550000,-1.193162,0.270178,2026-06-23 10:29:10
1,45,1,1.276548,-0.950000,0.270178,2026-06-23 10:29:22
1,45,1,1.274629,-0.350000,0.270178,2026-06-23 10:29:25
1,45,1,1.276696,0.250000,0.270178,2026-06-23 10:29:27
1,45,1,1.279722,1.100000,0.270178,2026-06-23 10:29:30
1,45,1,1.286514,2.750000,0.270178,2026-06-23 10:29:33
1,45,1,1.291312,4.250000,0.270178,2026-06-23 10:29:36
1,45,2,2.121871,-0.950000,0.270178,2026-06-23 10:29:42
1,45,2,2.127408,-0.350000,0.270178,2026-06-23 10:29:44
1,45,2,2.134716,0.250000,0.270178,2026-06-23 10:29:47
1,45,2,1.765769,1.100000,0.270178,2026-06-23 10:29:51
1,45,2,1.764883,2.750000,0.270178,2026-06-23 10:29:55
1,45,2,1.766359,4.250000,0.270178,2026-06-23 10:29:58
2,47,1,2.979550,-0.950000,0.270178,2026-06-23 10:30:02
2,47,1,2.974456,-0.350000,0.270178,2026-06-23 10:30:05
2,47,1,2.976597,0.250000,0.270178,2026-06-23 10:30:07
2,47,1,3.107699,1.100000,0.270178,2026-06-23 10:30:10
2,47,1,3.104525,2.750000,0.270178,2026-06-23 10:30:14
2,47,1,3.099210,4.250000,0.270178,2026-06-23 10:30:17
2,47,2,3.819779,-0.950000,0.270178,2026-06-23 10:30:22
2,47,2,3.816457,-0.350000,0.270178,2026-06-23 10:30:25
2,47,2,3.818524,0.250000,0.270178,2026-06-23 10:30:28
2,47,2,3.576768,1.100000,0.270178,2026-06-23 10:30:31
2,47,2,3.572117,2.750000,0.270178,2026-06-23 10:30:35
2,47,2,3.572265,4.250000,0.270178,2026-06-23 10:30:39
3,49,1,4.678122,-0.950000,0.270178,2026-06-23 10:30:42
3,49,1,4.677679,-0.350000,0.270178,2026-06-23 10:30:45
3,49,1,4.677236,0.250000,0.270178,2026-06-23 10:30:47
3,49,1,4.942689,1.100000,0.270178,2026-06-23 10:30:51
3,49,1,4.948816,2.750000,0.270178,2026-06-23 10:30:54
3,49,1,4.954722,4.250000,0.270178,2026-06-23 10:30:58
3,49,2,5.533263,-0.950000,0.270178,2026-06-23 10:31:03
3,49,2,5.532451,-0.350000,0.270178,2026-06-23 10:31:06
3,49,2,5.535773,0.250000,0.270178,2026-06-23 10:31:08
3,49,2,5.416408,1.100000,0.270178,2026-06-23 10:31:12
3,49,2,5.417884,2.750000,0.270178,2026-06-23 10:31:15
3,49,2,5.426447,4.250000,0.270178,2026-06-23 10:31:19
4,51,1,6.374923,-0.950000,0.270178,2026-06-23 10:31:22
4,51,1,6.376030,-0.350000,0.270178,2026-06-23 10:31:25
4,51,1,6.378614,0.250000,0.270178,2026-06-23 10:31:27
4,51,1,6.783880,1.100000,0.270178,2026-06-23 10:31:31
4,51,1,6.778934,2.750000,0.270178,2026-06-23 10:31:35
4,51,1,6.780853,4.250000,0.270178,2026-06-23 10:31:39
4,51,2,7.237520,-0.950000,0.270178,2026-06-23 10:31:44
4,51,2,7.239070,-0.350000,0.270178,2026-06-23 10:31:46
4,51,2,7.241653,0.250000,0.270178,2026-06-23 10:31:49
4,51,2,7.243794,1.100000,0.270178,2026-06-23 10:31:52
4,51,2,7.247264,2.750000,0.270178,2026-06-23 10:31:55
4,51,2,7.250216,4.250000,0.270178,2026-06-23 10:31:59
5,52,1,8.079032,-0.950000,0.270178,2026-06-23 10:32:02
5,52,1,8.082501,-0.350000,0.270178,2026-06-23 10:32:05
5,52,1,8.086709,0.250000,0.270178,2026-06-23 10:32:07
5,52,1,8.093427,1.100000,0.270178,2026-06-23 10:32:10
5,52,1,8.105754,2.750000,0.270178,2026-06-23 10:32:13
