EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,1,5,1.750000,0.000000,0.353465,2026-03-22 20:36:22
2,3,5,3.450000,0.000000,0.368583,2026-03-22 20:36:25
3,4,5,5.150000,0.000000,0.357717,2026-03-22 20:36:27
4,6,5,6.850000,0.000000,0.354094,2026-03-22 20:36:30
5,8,5,8.550000,0.000000,0.355394,2026-03-22 20:36:33
1,1,3,1.750000,-1.299327,0.207850,2026-03-22 20:36:38
2,3,3,3.450000,-1.289657,0.207850,2026-03-22 20:36:40
3,4,3,5.150000,-1.284711,0.207850,2026-03-22 20:36:43
4,6,3,6.850000,-1.285670,0.207850,2026-03-22 20:36:45
5,8,3,8.550000,-1.284785,0.207850,2026-03-22 20:36:48
1,1,1,1.308509,-0.950000,0.207850,2026-03-22 20:36:53
1,1,1,1.318770,-0.350000,0.207850,2026-03-22 20:36:56
1,1,1,1.312274,0.250000,0.207850,2026-03-22 20:36:58
1,1,1,1.308657,1.100000,0.207850,2026-03-22 20:37:01
1,1,1,1.348593,2.750000,0.207850,2026-03-22 20:37:04
1,1,1,1.358115,4.250000,0.207850,2026-03-22 20:37:07
1,1,1,1.307550,0.950000,0.207850,2026-03-22 20:37:11
1,1,1,1.345862,1.950000,0.207850,2026-03-22 20:37:14
1,1,1,1.354794,3.550000,0.207850,2026-03-22 20:37:17
1,1,1,1.353391,4.350000,0.207850,2026-03-22 20:37:20
1,1,2,2.174021,-0.950000,0.207850,2026-03-22 20:37:25
1,1,2,2.181034,-0.350000,0.207850,2026-03-22 20:37:27
1,1,2,2.183913,0.250000,0.207850,2026-03-22 20:37:30
1,1,2,2.074440,1.100000,0.207850,2026-03-22 20:37:33
1,1,2,2.067796,2.750000,0.207850,2026-03-22 20:37:36
1,1,2,2.087136,4.250000,0.207850,2026-03-22 20:37:39
1,1,2,2.075399,0.950000,0.207850,2026-03-22 20:37:44
1,1,2,2.031034,1.950000,0.207850,2026-03-22 20:37:47
1,1,2,2.076507,3.550000,0.207850,2026-03-22 20:37:50
1,1,2,2.086841,4.350000,0.207850,2026-03-22 20:37:53
2,3,1,3.000364,-0.950000,0.207850,2026-03-22 20:37:56
2,3,1,2.986043,-0.350000,0.207850,2026-03-22 20:37:59
2,3,1,3.001619,0.250000,0.207850,2026-03-22 20:38:01
2,3,1,3.360453,1.100000,0.207850,2026-03-22 20:38:05
2,3,1,3.335723,2.750000,0.207850,2026-03-22 20:38:08
2,3,1,3.326791,4.250000,0.207850,2026-03-22 20:38:12
2,3,1,2.992096,-1.050000,0.207850,2026-03-22 20:38:17
2,3,1,2.996821,-0.650000,0.207850,2026-03-22 20:38:20
2,3,1,3.009296,-0.050000,0.207850,2026-03-22 20:38:22
2,3,1,3.003760,0.350000,0.207850,2026-03-22 20:38:24
2,3,2,3.894592,-0.950000,0.207850,2026-03-22 20:38:29
2,3,2,3.857387,-0.350000,0.207850,2026-03-22 20:38:31
2,3,2,3.847643,0.250000,0.207850,2026-03-22 20:38:34
2,3,2,3.844690,1.100000,0.207850,2026-03-22 20:38:36
2,3,2,3.822471,2.750000,0.207850,2026-03-22 20:38:40
2,3,2,3.836939,4.250000,0.207850,2026-03-22 20:38:43
2,3,2,3.850448,-1.050000,0.207850,2026-03-22 20:39:15
2,3,2,3.855837,-0.650000,0.207850,2026-03-22 20:39:18
2,3,2,3.854730,-0.050000,0.207850,2026-03-22 20:39:20
2,3,2,3.846831,0.350000,0.207850,2026-03-22 20:39:22
2,3,2,3.846019,0.950000,0.207850,2026-03-22 20:39:25
2,3,2,3.823578,1.950000,0.207850,2026-03-22 20:39:28
2,3,2,3.835758,3.550000,0.207850,2026-03-22 20:39:31
2,3,2,3.838637,4.350000,0.207850,2026-03-22 20:39:34
3,4,1,4.715472,-0.950000,0.207850,2026-03-22 20:39:38
3,4,1,4.704178,-0.350000,0.207850,2026-03-22 20:39:40
3,4,1,4.700118,0.250000,0.207850,2026-03-22 20:39:42
3,4,1,4.700118,1.100000,0.207850,2026-03-22 20:39:45
3,4,1,4.700265,2.750000,0.207850,2026-03-22 20:39:48
3,4,1,4.700561,4.250000,0.207850,2026-03-22 20:39:51
3,4,2,5.583568,-0.950000,0.207850,2026-03-22 20:39:56
3,4,2,5.588661,-0.350000,0.207850,2026-03-22 20:39:58
3,4,2,5.579212,0.250000,0.207850,2026-03-22 20:40:01
3,4,2,5.240458,1.100000,0.207850,2026-03-22 20:40:04
3,4,2,5.240900,2.750000,0.207850,2026-03-22 20:40:08
3,4,2,5.248356,4.250000,0.207850,2026-03-22 20:40:12
