EnumKey#,PianoKey#,Direction,X,Y,Z,Timestamp
1,45,5,1.750000,0.000000,0.363504,2026-01-08 13:56:15
7,56,5,11.950000,0.000000,0.363268,2026-01-08 13:56:19
13,66,5,22.150000,0.000000,0.363937,2026-01-08 13:56:23
19,76,5,32.350000,0.000000,0.364134,2026-01-08 13:56:28
25,87,5,42.550000,0.000000,0.364213,2026-01-08 13:56:32
1,45,3,1.750000,-1.180715,0.213811,2026-01-08 13:56:44
7,56,3,11.950000,-1.179386,0.213811,2026-01-08 13:56:49
13,66,3,22.150000,-1.176286,0.213811,2026-01-08 13:56:53
19,76,3,32.350000,-1.176581,0.213811,2026-01-08 13:56:57
25,87,3,42.550000,-1.176803,0.213811,2026-01-08 13:57:02
1,45,1,1.280396,-0.950000,0.213811,2026-01-08 13:57:14
1,45,1,1.279584,-0.350000,0.213811,2026-01-08 13:57:17
1,45,1,1.282168,0.250000,0.213811,2026-01-08 13:57:19
1,45,1,1.285268,1.100000,0.213811,2026-01-08 13:57:22
1,45,1,1.284161,2.750000,0.213811,2026-01-08 13:57:25
1,45,1,1.280544,4.250000,0.213811,2026-01-08 13:57:28
1,45,2,2.165337,-0.950000,0.213811,2026-01-08 13:57:32
1,45,2,2.168364,-0.350000,0.213811,2026-01-08 13:57:35
1,45,2,2.172793,0.250000,0.213811,2026-01-08 13:57:38
1,45,2,1.772473,1.100000,0.213811,2026-01-08 13:57:41
1,45,2,1.760146,2.750000,0.213811,2026-01-08 13:57:45
1,45,2,1.755938,4.250000,0.213811,2026-01-08 13:57:49
2,47,1,2.978304,-0.950000,0.213811,2026-01-08 13:57:52
2,47,1,2.983028,-0.350000,0.213811,2026-01-08 13:57:55
2,47,1,2.983545,0.250000,0.213811,2026-01-08 13:57:57
2,47,1,3.089992,1.100000,0.213811,2026-01-08 13:58:00
2,47,1,3.096488,2.750000,0.213811,2026-01-08 13:58:03
2,47,1,3.099810,4.250000,0.213811,2026-01-08 13:58:06
2,47,2,3.832832,-0.950000,0.213811,2026-01-08 13:58:11
2,47,2,3.829732,-0.350000,0.213811,2026-01-08 13:58:14
2,47,2,3.831872,0.250000,0.213811,2026-01-08 13:58:16
2,47,2,3.600746,1.100000,0.213811,2026-01-08 13:58:20
2,47,2,3.596907,2.750000,0.213811,2026-01-08 13:58:23
2,47,2,3.600967,4.250000,0.213811,2026-01-08 13:58:27
3,49,1,4.685808,-0.950000,0.213811,2026-01-08 13:58:30
3,49,1,4.683963,-0.350000,0.213811,2026-01-08 13:58:33
3,49,1,4.679091,0.250000,0.213811,2026-01-08 13:58:35
3,49,1,4.940262,1.100000,0.213811,2026-01-08 13:58:38
3,49,1,4.935242,2.750000,0.213811,2026-01-08 13:58:42
3,49,1,4.934873,4.250000,0.213811,2026-01-08 13:58:45
3,49,2,5.558201,-0.950000,0.213811,2026-01-08 13:58:50
3,49,2,5.555396,-0.350000,0.213811,2026-01-08 13:58:53
3,49,2,5.553919,0.250000,0.213811,2026-01-08 13:58:55
3,49,2,5.410637,1.100000,0.213811,2026-01-08 13:58:58
3,49,2,5.404067,2.750000,0.213811,2026-01-08 13:59:02
3,49,2,5.402443,4.250000,0.213811,2026-01-08 13:59:05
4,51,1,6.382683,-0.950000,0.213811,2026-01-08 13:59:09
4,51,1,6.385119,-0.350000,0.213811,2026-01-08 13:59:11
4,51,1,6.381207,0.250000,0.213811,2026-01-08 13:59:14
4,51,1,6.769199,1.100000,0.213811,2026-01-08 13:59:17
4,51,1,6.765729,2.750000,0.213811,2026-01-08 13:59:21
4,51,1,6.762629,4.250000,0.213811,2026-01-08 13:59:24
4,51,2,7.245996,-0.950000,0.213811,2026-01-08 13:59:29
4,51,2,7.246439,-0.350000,0.213811,2026-01-08 13:59:32
4,51,2,7.249834,0.250000,0.213811,2026-01-08 13:59:34
4,51,2,7.248801,1.100000,0.213811,2026-01-08 13:59:37
4,51,2,7.246512,2.750000,0.213811,2026-01-08 13:59:40
4,51,2,7.251458,4.250000,0.213811,2026-01-08 13:59:43
5,52,1,8.083175,-0.950000,0.213811,2026-01-08 13:59:47
5,52,1,8.085537,-0.350000,0.213811,2026-01-08 13:59:49
5,52,1,8.085611,0.250000,0.213811,2026-01-08 13:59:52
5,52,1,8.087530,1.100000,0.213811,2026-01-08 13:59:54
5,52,1,8.089818,2.750000,0.213811,2026-01-08 13:59:57
5,52,1,8.090852,4.250000,0.213811,2026-01-08 14:00:00
5,52,2,8.985611,-0.950000,0.213811,2026-01-08 14:00:05
5,52,2,8.983618,-0.350000,0.213811,2026-01-08 14:00:08
5,52,2,8.982585,0.250000,0.213811,2026-01-08 14:00:10
5,52,2,8.620577,1.100000,0.213811,2026-01-08 14:00:14
5,52,2,8.613047,2.750000,0.213811,2026-01-08 14:00:17
